oa_code,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
S00091638,55,36,2,-,7,1,-,3,1,5,-,35
S00091639,39,23,2,3,3,1,2,4,1,-,-,26
S00091640,33,15,3,2,4,4,4,1,-,-,-,27
S00091641,44,25,5,2,2,5,1,3,1,-,-,30
S00091642,34,25,1,-,1,-,-,3,-,4,-,20
S00091643,40,29,2,1,2,-,3,3,-,-,-,17
S00091644,45,33,2,1,4,2,-,1,1,1,-,19
S00091645,38,25,-,2,1,2,3,1,4,-,-,28
S00091646,25,16,1,-,2,1,2,2,-,-,1,16
S00091647,31,18,2,2,-,3,5,1,-,-,-,22
S00091648,49,31,3,2,5,2,4,1,-,-,1,27
S00091649,44,23,2,2,6,3,4,1,1,2,-,35
S00091650,31,18,4,1,3,2,2,1,-,-,-,18
S00091651,47,30,1,-,5,4,1,2,2,1,1,32
S00091652,45,37,-,2,2,1,-,2,1,-,-,13
S00091653,17,10,2,-,1,3,1,-,-,-,-,11
S00091654,47,34,1,-,4,-,4,2,1,1,-,23
S00091655,19,9,1,1,1,2,2,3,-,-,-,17
S00091656,40,28,2,1,3,1,2,2,-,1,-,19
S00091657,24,15,2,-,3,1,2,-,1,-,-,15
S00091658,30,21,3,1,1,2,1,-,1,-,-,14
S00091659,64,28,5,2,9,6,10,3,1,-,-,58
S00091660,60,21,6,1,9,2,6,6,5,3,1,71
S00091661,46,21,3,2,3,5,7,5,-,-,-,42
S00091662,40,25,3,2,2,5,2,1,-,-,-,23
S00091663,48,22,1,3,6,6,5,3,1,1,-,45
S00091664,54,37,-,-,2,3,3,4,2,3,-,40
S00091665,53,37,2,1,5,2,3,2,-,1,-,25
S00091666,34,26,-,1,2,2,1,2,-,-,-,13
S00091667,44,23,5,1,3,4,3,2,1,2,-,36
S00091668,48,28,7,1,3,4,3,1,1,-,-,30
S00091669,49,30,5,1,1,1,6,1,2,2,-,37
S00091670,40,29,1,2,3,1,4,-,-,-,-,16
S00091671,60,35,6,3,2,5,5,1,1,1,1,43
S00091672,40,33,1,-,2,-,4,-,-,-,-,11
S00091673,36,27,1,1,1,3,1,-,1,1,-,17
S00091674,7,7,-,-,-,-,-,-,-,-,-,-
S00091675,35,22,-,-,3,2,4,2,-,2,-,26
S00091676,37,24,1,1,3,1,2,1,3,-,1,26
S00091677,50,39,-,-,4,1,1,2,1,2,-,23
S00091678,49,27,3,3,5,2,3,4,-,1,1,36
S00091679,18,11,1,2,1,1,-,1,1,-,-,11
S00091680,31,18,1,2,1,1,4,3,-,1,-,23
S00091681,26,19,1,1,1,1,3,-,-,-,-,11
S00091682,31,20,-,-,2,2,4,1,1,1,-,25
S00091683,28,20,3,2,1,-,2,-,-,-,-,10
S00091684,52,28,3,3,5,2,2,3,5,1,-,49
S00091685,39,22,3,3,3,1,2,-,3,2,-,30
S00091686,35,23,3,1,2,2,1,2,1,-,-,19
S00091687,37,20,1,-,3,6,1,1,1,4,-,41
S00091688,56,28,2,2,6,3,4,2,3,5,1,58
S00091689,34,22,1,2,1,3,1,-,3,1,-,24
S00091690,42,29,4,3,-,1,3,2,-,-,-,19
S00091691,35,14,-,3,2,3,7,1,2,3,-,43
S00091692,61,35,6,-,5,-,7,2,3,3,-,49
S00091693,59,36,6,-,4,1,3,5,3,1,-,43
S00091694,23,16,1,-,1,1,-,-,3,1,-,16
S00091695,44,19,3,-,1,11,7,-,2,1,-,50
S00091696,53,30,1,3,5,5,6,1,1,1,-,39
S00091697,34,14,2,1,1,2,11,2,-,-,1,37
S00091698,53,31,6,2,3,4,4,2,1,-,-,34
S00091699,41,18,-,4,7,2,3,2,4,1,-,42
S00091700,44,26,4,4,2,4,2,1,1,-,-,28
S00091701,42,26,1,-,2,5,5,2,-,1,-,30
S00091702,36,22,2,3,5,-,3,1,-,-,-,18
S00091703,30,21,3,1,1,1,-,-,1,2,-,17
S00091704,24,8,5,2,4,1,3,1,-,-,-,21
S00091705,46,25,5,3,5,4,3,-,1,-,-,32
S00091706,25,11,3,3,3,2,1,-,2,-,-,22
S00091707,32,23,2,1,-,1,1,1,3,-,-,24
S00091708,35,25,-,-,2,4,2,1,-,1,-,19
S00091709,50,32,2,2,2,4,4,2,1,-,1,35
S00091710,22,19,1,-,1,-,-,-,-,1,-,5
S00091711,23,15,-,-,2,1,1,1,2,1,-,17
S00091712,48,37,2,4,2,1,-,-,-,2,-,17
S00091713,27,20,3,-,2,-,1,-,-,1,-,10
S00091714,32,23,1,2,1,3,-,2,-,-,-,14
S00091715,15,13,-,-,1,-,-,-,-,1,-,4
S00091716,35,25,2,1,1,1,1,2,1,1,-,18
S00091717,21,12,4,1,3,-,-,-,-,-,1,11
S00091718,31,25,4,2,-,-,-,-,-,-,-,6
S00091719,31,17,4,3,2,3,1,-,-,-,1,20
S00091720,45,31,2,1,1,2,3,5,-,-,-,24
S00091721,22,19,-,1,1,-,1,-,-,-,-,4
S00091722,31,24,-,-,2,1,-,-,4,-,-,19
S00091723,62,48,2,2,5,2,2,1,-,-,-,19
S00091724,30,24,2,1,-,2,-,-,-,1,-,10
S00091725,9,9,-,-,-,-,-,-,-,-,-,-
S00091726,59,39,2,1,7,1,3,1,-,5,-,37
S00091727,68,51,3,2,6,1,3,1,1,-,-,25
S00091728,47,39,1,1,1,1,3,1,-,-,-,13
S00091729,14,13,-,-,1,-,-,-,-,-,-,1
S00091730,12,11,-,-,1,-,-,-,-,-,-,1
S00091731,22,18,1,1,1,-,-,-,-,1,-,6
S00091732,23,13,3,1,2,1,1,2,-,-,-,14
S00091733,21,19,1,-,1,-,-,-,-,-,-,2
S00091734,33,29,-,-,2,-,-,-,-,2,-,8
S00091735,24,16,1,1,3,2,-,-,1,-,-,12
S00091736,16,11,2,2,-,-,-,-,-,1,-,7
S00091737,24,21,1,-,-,1,-,-,-,1,-,7
S00091738,37,24,-,4,3,3,1,-,1,1,-,21
S00091739,28,20,3,-,2,1,2,-,-,-,-,11
S00091740,35,22,4,2,2,-,1,3,1,-,-,19
S00091741,53,39,3,3,1,2,2,3,-,-,-,21
S00091742,24,18,1,-,-,3,-,1,-,1,-,12
S00091743,26,18,3,1,3,1,-,-,-,-,-,9
S00091744,21,16,1,1,1,-,2,-,-,-,-,7
S00091745,33,25,-,2,4,-,-,2,-,-,-,10
S00091746,38,15,5,4,6,3,3,2,-,-,-,31
S00091747,41,28,1,2,4,4,2,-,-,-,-,20
S00091748,39,29,2,3,-,2,2,1,-,-,-,15
S00091749,27,7,5,3,4,1,-,-,2,4,1,37
S00091750,33,29,1,1,-,1,1,-,-,-,-,6
S00091751,27,23,-,1,-,-,-,2,-,1,-,8
S00091752,45,26,1,1,3,5,5,3,-,1,-,34
S00091753,42,27,-,2,3,2,3,3,2,-,-,31
S00091754,56,36,-,2,7,2,1,5,-,2,1,35
S00091755,34,21,2,-,4,3,3,-,-,-,1,21
S00091756,31,26,-,-,3,-,1,-,-,1,-,9
S00091757,44,31,2,1,3,2,1,2,-,2,-,22
S00091758,61,48,1,2,5,3,2,-,-,-,-,18
S00091759,35,24,4,2,1,2,-,1,1,-,-,16
S00091760,39,25,1,4,4,3,1,1,-,-,-,19
S00091761,51,23,1,-,3,4,8,2,5,4,1,63
S00091762,56,34,5,1,4,4,3,2,1,2,-,37
S00091763,44,31,1,3,3,2,3,-,1,-,-,20
S00091764,29,16,4,-,1,2,1,3,-,2,-,24
S00091765,37,20,2,2,3,1,3,2,3,1,-,31
S00091766,29,22,1,1,-,-,3,1,1,-,-,13
S00091767,33,20,2,3,3,1,2,1,1,-,-,19
S00091768,49,37,2,-,3,1,3,1,1,1,-,22
S00091769,43,28,5,-,2,4,1,1,2,-,-,28
S00091770,58,36,3,1,4,4,5,1,2,2,-,40
S00091771,41,26,2,1,6,2,1,1,1,1,-,23
S00091772,48,23,6,3,1,4,4,3,3,1,-,44
S00091773,33,17,1,2,1,5,1,2,1,3,-,33
S00091774,33,26,-,-,2,1,1,1,2,-,-,14
S00091775,39,30,2,1,3,-,2,-,1,-,-,13
S00091776,32,24,-,3,-,3,2,-,-,-,-,14
S00091777,30,17,2,2,3,2,1,1,-,2,-,21
S00091778,31,13,4,-,4,3,4,1,1,1,-,30
S00091779,48,28,2,4,3,1,2,3,1,2,2,36
S00091780,35,24,4,-,-,3,1,2,-,1,-,19
S00091781,22,14,-,-,1,1,1,2,1,2,-,19
S00091782,34,26,3,2,2,-,1,-,-,-,-,10
S00091783,36,19,2,2,3,3,1,3,-,3,-,31
S00091784,34,22,4,2,1,-,1,1,1,2,-,20
S00091785,52,28,3,1,5,3,3,8,1,-,-,40
S00091786,31,20,-,1,5,-,2,3,-,-,-,16
S00091787,39,28,-,-,4,1,3,3,-,-,-,18
S00091788,32,18,-,-,4,1,2,5,2,-,-,27
S00091789,43,31,1,1,4,2,2,1,1,-,-,21
S00091790,47,34,2,-,4,2,-,5,-,-,-,20
S00091791,32,27,-,-,2,2,-,-,1,-,-,10
S00091792,31,26,2,-,-,1,2,-,-,-,-,8
S00091793,39,28,1,-,2,2,2,3,-,1,-,20
S00091794,43,31,4,3,3,1,-,-,-,1,-,16
S00091795,45,36,2,1,3,1,2,-,-,-,-,14
S00091796,46,38,1,-,1,1,3,1,-,-,1,15
S00091797,36,30,1,1,1,-,2,1,-,-,-,9
S00091798,40,30,-,1,5,1,2,1,-,-,-,14
S00091799,35,26,2,-,2,-,4,1,-,-,-,14
S00091800,49,30,2,-,4,-,7,3,1,2,-,35
S00091801,36,29,1,-,2,-,2,1,-,1,-,12
S00091802,12,8,1,-,-,2,1,-,-,-,-,7
S00091803,33,24,3,1,1,2,-,1,1,-,-,14
S00091804,40,25,1,2,3,3,4,2,-,-,-,24
S00091805,33,25,-,-,2,1,-,3,-,1,1,17
S00091806,49,35,3,1,4,2,2,1,-,-,1,21
S00091807,68,42,7,2,4,4,3,4,2,-,-,41
S00091808,37,25,2,1,1,1,2,2,2,1,-,23
S00091809,35,26,-,2,3,1,-,2,1,-,-,14
S00091810,58,36,2,2,9,2,2,3,1,1,-,35
S00091811,38,23,3,1,4,1,3,1,-,1,1,24
S00091812,43,22,2,2,5,2,3,4,1,2,-,37
S00091813,40,21,1,2,9,6,-,-,1,-,-,27
S00091814,28,18,-,4,2,-,1,2,-,1,-,16
S00091815,35,26,-,1,-,1,1,-,3,1,2,24
S00091816,37,19,1,2,5,1,4,4,1,-,-,29
S00091817,51,33,4,1,4,2,6,-,1,-,-,28
S00091818,47,31,1,4,4,-,4,-,2,1,-,30
S00091819,29,21,-,2,1,2,1,2,-,-,-,13
S00091820,24,16,1,4,1,-,2,-,-,-,-,10
S00091821,53,31,3,2,4,6,3,4,-,-,-,35
S00091822,24,18,2,-,1,2,-,-,-,1,-,10
S00091823,47,24,6,3,2,4,2,4,1,1,-,37
S00091824,31,26,1,-,1,2,-,-,-,1,-,9
S00091825,37,30,1,1,1,1,2,1,-,-,-,12
S00091826,49,35,5,1,1,3,1,1,-,2,-,23
S00091827,23,14,2,-,4,1,2,-,-,-,-,12
S00091828,32,19,1,1,5,1,2,-,2,1,-,22
S00091829,29,14,1,6,-,2,1,3,2,-,-,28
S00091830,20,12,1,-,2,1,2,2,-,-,-,13
S00091831,42,32,4,1,-,2,1,1,-,1,-,18
S00091832,30,19,1,-,2,1,3,2,1,1,-,21
S00091833,25,22,1,-,-,-,2,-,-,-,-,5
S00091834,35,25,1,-,3,1,3,2,-,-,-,16
S00091835,56,28,4,8,3,4,1,3,3,2,-,48
S00091836,32,21,3,-,5,2,-,-,-,1,-,16
S00091837,45,27,3,4,5,2,1,1,2,-,-,26
S00091838,47,23,4,4,5,4,4,-,1,2,-,39
S00091839,41,27,4,-,3,-,2,1,1,2,1,26
S00091840,40,28,4,-,-,2,4,1,-,1,-,21
S00091841,26,16,1,1,1,2,1,1,1,2,-,26
S00091842,34,23,1,2,4,1,2,1,-,-,-,15
S00091843,24,17,1,-,2,1,1,-,1,1,-,13
S00091844,40,27,1,2,4,-,4,1,1,-,-,20
S00091845,37,27,1,1,2,1,2,1,2,-,-,19
S00091846,38,26,-,2,1,1,3,3,1,1,-,23
S00091847,36,26,4,-,-,1,1,1,2,1,-,20
S00091848,41,30,3,2,3,1,-,2,-,-,-,14
S00091849,12,7,3,-,1,1,-,-,-,-,-,6
S00091850,52,30,4,-,4,3,1,3,6,1,-,48
S00091851,14,11,1,1,-,1,-,-,-,-,-,4
S00091852,32,18,2,2,6,3,1,-,-,-,-,18
S00091853,25,19,2,-,1,2,-,1,-,-,-,9
S00091854,24,14,1,2,1,3,2,-,-,1,-,17
S00091855,23,15,4,1,-,-,3,-,-,-,-,11
S00091856,31,17,2,2,4,-,2,2,-,2,-,22
S00091857,35,19,5,-,2,1,3,2,1,2,-,32
S00091858,31,21,4,1,1,1,2,-,1,-,-,16
S00091859,46,30,2,-,4,2,3,4,1,-,-,27
S00091860,47,29,4,2,6,1,2,2,-,1,-,25
S00091861,31,15,5,2,3,-,5,-,1,-,-,23
S00091862,25,17,-,1,1,1,-,1,2,1,1,19
S00091863,33,13,3,2,2,2,3,2,2,4,-,41
S00091864,48,11,8,2,4,6,4,1,10,2,-,79
S00091865,16,11,1,-,2,1,1,-,-,-,-,7
S00091866,40,29,-,1,1,2,3,2,2,-,-,22
S00091867,25,14,-,1,1,3,2,1,2,1,-,23
S00091868,32,22,4,-,2,-,3,1,-,-,-,14
S00091869,29,17,3,2,3,1,2,-,-,1,-,17
S00091870,54,25,7,4,5,5,4,1,2,1,-,46
S00091871,37,27,1,1,2,2,2,1,1,-,-,17
S00091872,50,33,1,4,3,3,3,2,-,1,-,27
S00091873,45,22,5,2,3,3,3,-,6,1,-,47
S00091874,56,33,4,1,3,4,5,1,4,-,1,43
S00091875,40,28,1,2,3,2,4,-,-,-,-,18
S00091876,28,15,4,-,3,1,4,1,-,-,-,19
S00091877,19,13,1,2,-,2,-,-,1,-,-,12
S00091878,34,21,1,3,2,3,-,3,1,-,-,22
S00091879,51,35,2,-,7,1,2,2,2,-,-,29
S00091880,19,12,3,2,-,-,-,2,-,-,-,9
S00091881,55,33,6,1,5,4,3,-,2,1,-,37
S00091882,21,16,-,-,2,-,2,1,-,-,-,8
S00091883,43,32,1,2,3,3,2,-,-,-,-,16
S00091884,52,40,1,-,2,2,3,1,1,2,-,24
S00091885,53,25,9,2,6,3,1,2,4,1,-,47
S00091886,35,17,1,1,5,2,4,4,1,-,-,30
S00091887,51,28,7,6,4,3,-,1,1,1,-,31
S00091888,53,30,3,3,3,4,4,3,1,2,-,42
S00091889,20,12,2,-,3,-,-,2,1,-,-,12
S00091890,19,14,1,1,-,-,1,1,1,-,-,9
S00091891,52,33,-,2,8,3,5,-,1,-,-,30
S00091892,29,23,-,1,1,1,1,-,1,1,-,12
S00091893,27,15,4,3,2,-,1,1,1,-,-,16
S00091894,27,17,7,1,1,1,-,-,-,-,-,11
S00091895,27,19,2,1,2,3,-,-,-,-,-,11
S00091896,41,26,3,2,4,1,2,-,2,1,-,26
S00091897,48,25,3,1,9,4,4,1,1,-,-,34
S00091898,28,20,2,-,3,1,1,1,-,-,-,11
S00091899,30,13,4,2,4,2,1,2,2,-,-,26
S00091900,48,35,1,2,2,3,2,1,1,1,-,24
S00091901,16,10,3,-,1,1,-,1,-,-,-,8
S00091902,31,24,2,1,2,2,-,-,-,-,-,9
S00091903,22,13,2,2,1,3,1,-,-,-,-,13
S00091904,18,16,1,-,-,-,-,-,-,1,-,4
S00091905,64,36,4,5,7,5,3,1,-,2,1,44
S00091906,48,32,5,-,1,4,5,1,-,-,-,26
S00091907,43,29,4,-,4,2,3,-,-,1,-,22
S00091908,37,26,2,4,1,1,2,1,-,-,-,15
S00091909,25,13,3,1,1,-,3,2,-,2,-,21
S00091910,19,13,1,1,1,-,1,-,1,1,-,11
S00091911,23,16,-,-,3,-,1,1,2,-,-,13
S00091912,19,12,3,-,2,1,1,-,-,-,-,9
S00091913,37,29,4,2,1,1,-,-,-,-,-,10
S00091914,35,25,1,1,5,-,1,-,2,-,-,15
S00091915,43,23,6,7,3,3,-,1,-,-,-,24
S00091916,30,15,7,-,1,4,1,-,-,1,1,25
S00091917,31,12,8,1,7,1,1,-,-,1,-,23
S00091918,26,16,3,3,3,-,1,-,-,-,-,11
S00091919,21,9,3,2,2,1,1,1,2,-,-,20
S00091920,35,27,1,1,-,3,1,1,1,-,-,15
S00091921,45,33,2,1,1,4,1,2,-,1,-,21
S00091922,35,13,7,5,3,3,2,1,1,-,-,31
S00091923,43,25,1,1,6,4,1,2,3,-,-,33
S00091924,38,27,2,1,2,-,3,1,1,1,-,20
S00091925,37,20,4,2,3,3,3,1,1,-,-,27
S00091926,23,17,2,-,4,-,-,-,-,-,-,6
S00091927,60,30,9,2,6,2,1,1,5,3,1,57
S00091928,48,21,8,9,3,3,2,-,1,1,-,37
S00091929,39,25,1,4,3,1,2,1,2,-,-,23
S00091930,26,12,4,2,1,2,1,1,1,2,-,25
S00091931,26,11,7,1,5,-,1,-,-,1,-,19
S00091932,34,15,1,2,2,7,3,2,2,-,-,36
S00091933,21,8,2,5,3,1,1,-,1,-,-,17
S00091934,29,17,2,2,3,4,1,-,-,-,-,17
S00091935,45,29,3,4,3,1,1,-,1,1,2,28
S00091936,28,12,1,2,5,1,2,-,1,4,-,32
S00091937,32,19,1,-,4,3,1,1,2,1,-,25
S00091938,56,31,5,2,5,2,2,1,5,3,-,53
S00091939,38,26,5,1,2,1,2,-,-,1,-,17
S00091940,28,12,8,2,1,2,2,1,-,-,-,21
S00091941,46,32,4,2,2,2,3,-,1,-,-,21
S00091942,28,19,6,-,1,1,1,-,-,-,-,11
S00091943,36,19,3,3,4,4,1,2,-,-,-,24
S00091944,22,11,3,4,2,-,2,-,-,-,-,13
S00091945,23,8,4,2,1,6,2,-,-,-,-,23
S00091946,37,23,4,2,4,-,-,3,1,-,-,19
S00091947,13,3,4,1,-,-,5,-,-,-,-,15
S00091948,23,15,2,-,2,1,2,-,-,1,-,13
S00091949,17,6,2,3,2,4,-,-,-,-,-,15
S00091950,58,16,7,6,7,9,4,3,3,3,-,73
S00091951,17,6,3,1,1,1,-,2,3,-,-,22
S00091952,24,13,3,-,2,3,2,1,-,-,-,17
S00091953,34,17,3,2,4,2,2,-,4,-,-,31
S00091954,40,26,2,1,6,3,1,-,-,1,-,20
S00091955,21,10,4,2,1,3,-,-,-,1,-,16
S00091956,33,16,5,2,4,4,1,1,-,-,-,23
S00091957,31,18,3,2,3,1,3,1,-,-,-,18
S00091958,18,9,5,2,-,1,1,-,-,-,-,11
S00091959,26,17,1,3,1,1,1,-,1,1,-,16
S00091960,18,11,4,-,1,2,-,-,-,-,-,9
S00091961,26,17,6,1,-,2,-,-,-,-,-,11
S00091962,13,6,3,3,-,1,-,-,-,-,-,8
S00091963,17,9,4,1,-,3,-,-,-,-,-,11
S00091964,22,13,6,1,1,1,-,-,-,-,-,10
S00091965,19,12,2,2,1,1,-,-,-,1,-,13
S00091966,18,13,1,1,2,1,-,-,-,-,-,6
S00091967,22,10,2,3,2,2,-,-,1,2,-,21
S00091968,19,10,5,-,2,2,-,-,-,-,-,11
S00091969,15,11,2,-,-,1,-,1,-,-,-,6
S00091970,34,23,3,-,3,2,2,-,-,1,-,17
S00091971,39,21,4,2,3,4,2,1,1,1,-,31
S00091972,43,35,4,-,1,1,1,-,-,1,-,13
S00091973,25,15,1,1,3,1,1,1,1,1,-,17
S00091974,20,12,1,2,2,-,1,-,2,-,-,13
S00091975,42,30,1,2,2,5,1,-,1,-,-,22
S00091976,54,36,3,1,3,2,4,1,3,1,-,35
S00091977,22,16,1,1,1,-,-,1,2,-,-,11
S00091978,40,16,-,1,6,7,3,2,3,2,-,47
S00091979,20,12,1,3,-,1,2,-,1,-,-,13
S00091980,21,16,-,-,1,1,2,1,-,-,-,9
S00091981,34,20,2,-,6,1,2,1,1,1,-,22
S00091982,47,31,5,2,1,3,5,-,-,-,-,24
S00091983,27,15,3,2,3,-,3,-,1,-,-,17
S00091984,38,28,1,-,2,3,2,1,1,-,-,18
S00091985,29,18,4,-,3,-,2,1,-,1,-,17
S00091986,33,24,3,-,1,3,1,-,1,-,-,15
S00091987,27,18,1,1,1,3,2,-,1,-,-,16
S00091988,18,9,3,3,1,1,-,-,1,-,-,13
S00091989,21,13,1,1,3,-,1,-,2,-,-,13
S00091990,33,22,-,-,6,1,2,-,1,1,-,18
S00091991,25,14,1,1,1,1,4,1,2,-,-,22
S00091992,36,19,3,3,4,2,3,1,-,1,-,25
S00091993,48,26,5,1,5,1,4,3,2,-,1,37
S00091994,57,35,2,1,5,5,5,3,1,-,-,37
S00091995,34,19,2,2,3,2,2,1,2,1,-,27
S00091996,54,38,3,-,4,1,3,3,1,1,-,27
S00091997,17,13,-,-,2,1,1,-,-,-,-,6
S00091998,35,22,2,1,3,1,1,1,3,1,-,26
S00091999,54,34,4,-,3,8,2,1,1,1,-,38
S00092000,26,8,2,1,5,1,2,-,4,2,1,39
S00092001,21,12,-,1,-,1,3,1,-,3,-,21
S00092002,31,17,4,2,2,1,3,1,-,1,-,21
S00092003,40,27,5,2,1,1,1,1,1,1,-,20
S00092004,47,19,2,2,6,4,9,1,3,1,-,52
S00092005,60,33,4,2,5,6,5,3,1,1,-,45
S00092006,42,28,1,1,5,3,1,1,-,2,-,24
S00092007,24,14,3,3,1,-,1,1,1,-,-,14
S00092008,45,31,2,-,8,1,1,2,-,-,-,18
S00092009,40,22,1,1,4,6,-,2,1,2,1,34
S00092010,23,14,3,-,2,1,-,1,1,1,-,15
S00092011,24,16,3,1,-,1,-,-,1,2,-,15
S00092012,53,38,2,2,3,2,1,2,1,1,1,26
S00092013,49,34,-,1,6,-,3,1,1,3,-,28
S00092014,36,25,2,3,3,1,1,1,-,-,-,14
S00092015,50,36,1,2,2,3,3,2,1,-,-,24
S00092016,55,36,3,3,4,2,3,2,-,2,-,32
S00092017,36,18,1,2,2,2,2,2,5,2,-,38
S00092018,34,23,3,-,-,1,2,3,1,1,-,23
S00092019,27,20,1,1,-,1,2,1,1,-,-,13
S00092020,37,24,1,2,4,2,-,1,2,1,-,23
S00092021,20,14,-,2,2,-,-,-,1,1,-,10
S00092022,38,28,3,-,2,1,2,-,2,-,-,17
S00092023,24,23,-,-,-,-,-,1,-,-,-,2
S00092024,34,21,1,-,1,2,4,3,1,1,-,26
S00092025,44,31,1,2,-,3,5,-,-,2,-,25
S00092026,44,36,-,-,3,-,3,1,-,1,-,14
S00092027,32,16,3,2,-,1,7,1,2,-,-,29
S00092028,16,12,-,1,-,-,2,-,-,1,-,8
S00092029,24,11,8,1,2,-,2,-,-,-,-,16
S00092030,13,11,-,-,1,1,-,-,-,-,-,3
S00092031,34,19,3,-,3,2,3,2,1,1,-,27
S00092032,44,28,1,1,2,3,1,3,1,4,-,33
S00092033,15,8,3,-,1,1,-,1,-,1,-,11
S00092034,28,16,1,2,2,3,-,1,1,1,1,22
S00092035,22,15,2,-,1,1,-,1,1,1,-,15
S00092036,26,21,-,3,1,-,-,-,-,1,-,7
S00092037,47,31,-,-,4,4,3,2,3,-,-,34
S00092038,58,29,7,1,4,8,2,3,3,-,1,51
S00092039,45,26,4,2,4,3,2,2,2,-,-,30
S00092040,38,27,6,-,1,1,1,-,1,1,-,17
S00092041,28,7,1,2,2,6,4,2,2,1,1,42
S00092042,42,20,6,2,5,1,5,-,2,1,-,34
S00092043,48,34,4,1,2,1,4,1,-,1,-,23
S00092044,35,27,1,2,1,3,1,-,-,-,-,12
S00092045,47,29,2,3,4,2,5,-,1,-,1,29
S00092046,50,34,4,4,2,2,1,-,2,1,-,25
S00092047,30,19,3,1,2,1,2,-,1,1,-,18
S00092048,64,38,4,1,4,7,7,2,1,-,-,45
S00092049,52,27,7,4,5,3,2,3,1,-,-,36
S00092050,52,28,2,3,9,2,2,1,3,2,-,39
S00092051,50,33,2,3,6,-,3,2,1,-,-,24
S00092052,41,26,1,3,3,2,2,1,-,3,-,26
S00092053,31,21,3,3,1,-,1,-,1,-,1,16
S00092054,28,17,2,3,2,-,2,2,-,-,-,15
S00092055,28,19,2,1,1,1,3,1,-,-,-,14
S00092056,36,26,1,1,1,2,2,1,2,-,-,19
S00092057,31,20,-,2,2,-,4,1,1,-,1,21
S00092058,58,44,3,-,6,1,4,-,-,-,-,21
S00092059,39,19,2,1,5,3,4,1,3,1,-,41
S00092060,36,19,2,4,3,3,2,2,-,1,-,27
S00092061,26,14,5,2,-,1,3,-,-,-,1,18
S00092062,43,16,7,5,1,3,4,2,2,2,1,46
S00092063,32,16,6,3,4,1,1,-,-,-,1,20
S00092064,31,21,1,-,2,3,2,1,1,-,-,18
S00092065,21,14,2,4,-,-,1,-,-,-,-,8
S00092066,35,20,1,1,5,2,1,2,1,2,-,26
S00092067,48,21,10,4,3,5,-,2,1,2,-,41
S00092068,38,24,6,3,-,2,-,2,-,1,-,20
S00092069,23,12,2,-,2,3,3,1,-,-,-,18
S00092070,25,17,-,-,1,2,3,2,-,-,-,15
S00092071,38,27,1,1,2,-,4,-,-,3,-,21
S00092072,30,14,3,2,5,2,1,-,2,-,1,25
S00092073,30,20,-,2,1,-,3,2,1,1,-,21
S00092074,25,13,1,1,4,-,-,4,-,1,1,20
S00092075,16,11,1,-,-,1,2,1,-,-,-,9
S00092076,32,12,2,6,1,1,4,-,3,3,-,37
S00092077,35,22,2,1,3,3,-,1,1,2,-,23
S00092078,19,11,2,-,1,2,-,2,-,1,-,14
S00092079,10,9,-,1,-,-,-,-,-,-,-,1
S00092080,23,14,-,3,-,-,1,1,3,1,-,20
S00092081,22,14,3,1,2,-,-,2,-,-,-,10
S00092082,43,29,1,1,2,2,3,3,1,1,-,26
S00092083,8,5,2,-,-,-,1,-,-,-,-,4
S00092084,26,21,1,-,2,-,-,1,-,-,1,8
S00092085,31,19,1,2,4,-,2,2,-,1,-,18
S00092086,26,18,1,1,3,-,-,1,2,-,-,14
S00092087,45,26,3,2,4,2,5,2,1,-,-,30
S00092088,33,20,1,4,1,2,3,1,-,1,-,21
S00092089,26,16,-,1,4,-,-,1,3,1,-,19
S00092090,48,26,9,1,1,3,3,-,3,2,-,43
S00092091,33,15,4,2,4,-,4,1,-,3,-,30
S00092092,31,20,1,1,1,2,-,1,2,3,-,27
S00092093,25,18,2,1,-,2,1,-,-,-,1,16
S00092094,33,20,2,-,3,1,1,4,2,-,-,27
S00092095,22,12,1,1,-,1,5,-,2,-,-,20
S00092096,33,23,-,-,3,-,-,2,2,3,-,23
S00092097,55,32,7,2,3,3,5,1,1,1,-,37
S00092098,33,19,1,5,1,3,1,1,2,-,-,24
S00092099,58,25,4,2,6,9,5,5,2,-,-,57
S00092100,55,35,5,3,2,5,1,2,2,-,-,32
S00092101,34,16,6,3,3,3,1,-,1,1,-,27
S00092102,32,22,1,-,-,2,3,2,1,1,-,21
S00092103,32,17,1,1,5,2,2,1,3,-,-,27
S00092104,29,13,3,4,2,3,-,1,2,1,-,31
S00092105,33,21,1,-,2,3,3,1,1,1,-,27
S00092106,42,26,2,1,3,1,3,1,2,3,-,31
S00092107,29,18,2,1,3,-,1,1,2,1,-,21
S00092108,33,23,2,1,2,1,-,2,-,2,-,17
S00092109,25,18,-,1,3,-,1,1,1,-,-,14
S00092110,35,23,1,1,3,2,1,1,3,-,-,22
S00092111,37,28,-,-,4,1,2,-,-,2,-,18
S00092112,37,20,5,4,4,1,2,1,-,-,-,21
