oa_code,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
S00089056,13,11,1,-,1,-,-,-,-,-,-,2
S00089057,15,12,2,1,-,-,-,-,-,-,-,3
S00089058,17,14,1,2,-,-,-,-,-,-,-,3
S00089059,10,9,1,-,-,-,-,-,-,-,-,1
S00089060,12,6,4,-,-,1,-,-,1,-,-,9
S00089061,17,9,5,1,-,1,-,-,1,-,-,11
S00089062,9,7,-,-,-,1,-,-,1,-,-,5
S00089063,21,13,6,-,-,2,-,-,-,-,-,10
S00089064,20,15,3,2,-,-,-,-,-,-,-,5
S00089065,18,10,1,2,3,2,-,-,-,-,-,10
S00089066,15,13,2,-,-,-,-,-,-,-,-,3
S00089067,15,7,1,2,1,3,-,-,1,-,-,16
S00089068,14,8,1,-,2,1,1,1,-,-,-,9
S00089069,14,8,4,-,-,2,-,-,-,-,-,8
S00089070,35,25,4,4,-,1,-,1,-,-,-,12
S00089071,17,12,2,-,1,1,1,-,-,-,-,7
S00089072,18,9,3,1,1,1,3,-,-,-,-,13
S00089073,17,15,-,-,-,2,-,-,-,-,-,4
S00089074,36,22,4,3,-,2,1,1,-,3,-,24
S00089075,26,17,5,-,2,1,-,-,1,-,-,12
S00089076,24,15,5,1,1,-,2,-,-,-,-,11
S00089077,22,15,3,1,1,-,-,-,-,2,-,11
S00089078,17,13,2,1,-,1,-,-,-,-,-,5
S00089079,22,13,3,1,3,1,-,1,-,-,-,12
S00089080,26,4,1,2,10,4,1,-,3,1,-,36
S00089081,19,17,1,1,-,-,-,-,-,-,-,3
S00089082,24,15,1,2,1,2,2,-,-,1,-,16
S00089083,37,22,1,3,4,2,3,1,1,-,-,23
S00089084,31,17,3,1,2,1,2,-,2,3,-,27
S00089085,38,19,4,3,3,6,2,1,-,-,-,28
S00089086,30,21,-,3,2,2,-,-,1,1,-,18
S00089087,38,22,3,5,2,4,-,2,-,-,-,22
S00089088,27,18,2,1,-,2,2,-,-,2,-,17
S00089089,25,12,1,5,2,2,1,1,-,1,-,21
S00089090,33,18,3,2,1,2,-,2,4,-,1,29
S00089091,42,15,1,3,3,5,6,1,2,5,1,59
S00089092,43,13,-,5,4,3,5,1,5,7,-,71
S00089093,41,17,3,5,3,2,2,1,5,2,1,48
S00089094,25,10,3,1,3,-,3,2,1,2,-,29
S00089095,33,13,2,3,3,7,3,-,1,1,-,35
S00089096,28,9,4,5,2,4,1,1,1,1,-,30
S00089097,25,14,3,2,3,1,1,-,-,1,-,15
S00089098,20,3,5,1,4,3,3,-,1,-,-,25
S00089099,36,16,7,3,2,1,2,2,3,-,-,34
S00089100,30,20,3,1,2,1,2,-,-,1,-,17
S00089101,17,9,1,1,1,4,-,-,1,-,-,14
S00089102,27,10,4,3,3,4,3,-,-,-,-,24
S00089103,24,17,2,-,3,2,-,-,-,-,-,9
S00089104,15,13,-,-,1,-,-,1,-,-,-,3
S00089105,22,18,-,4,-,-,-,-,-,-,-,4
S00089106,22,18,1,-,-,1,2,-,-,-,-,7
S00089107,26,15,2,3,3,3,-,-,-,-,-,14
S00089108,32,18,3,3,4,2,2,-,-,-,-,18
S00089109,14,8,-,3,1,-,-,-,2,-,-,10
S00089110,29,20,1,3,3,-,2,-,-,-,-,12
S00089111,46,28,1,4,3,2,6,-,1,1,-,31
S00089112,34,18,4,2,5,4,-,-,-,1,-,22
S00089113,16,15,1,-,-,-,-,-,-,-,-,1
S00089114,35,15,4,1,2,4,6,1,2,-,-,35
S00089115,45,29,4,1,1,2,4,1,2,1,-,29
S00089116,57,13,7,7,8,3,7,1,8,2,1,82
S00089117,34,11,5,8,3,5,1,-,1,-,-,31
S00089118,48,36,3,-,3,1,3,1,-,1,-,19
S00089119,30,25,1,1,-,-,3,-,-,-,-,8
S00089120,26,21,-,1,1,1,1,1,-,-,-,9
S00089121,27,19,4,-,1,-,1,-,2,-,-,13
S00089122,20,8,3,4,1,2,2,-,-,-,-,16
S00089123,42,22,4,3,3,-,3,1,3,1,2,39
S00089124,28,19,-,1,2,2,1,-,3,-,-,26
S00089125,47,30,2,3,2,4,2,1,1,1,1,32
S00089126,40,22,3,2,4,3,2,-,3,1,-,32
S00089127,29,19,1,-,3,3,1,2,-,-,-,16
S00089128,26,14,-,-,5,-,3,1,1,2,-,24
S00089129,59,32,4,2,7,2,2,6,2,1,1,45
S00089130,31,17,5,5,3,1,-,-,-,-,-,15
S00089131,30,19,2,-,2,2,2,1,-,2,-,20
S00089132,29,22,-,2,2,1,1,-,-,1,-,11
S00089133,27,18,2,-,1,1,2,1,1,1,-,17
S00089134,44,35,1,1,2,-,2,2,-,1,-,15
S00089135,44,35,3,-,-,3,2,-,-,1,-,16
S00089136,38,27,1,3,5,1,1,-,-,-,-,13
S00089137,35,26,3,3,1,1,1,-,-,-,-,11
S00089138,7,7,-,-,-,-,-,-,-,-,-,-
S00089139,25,16,-,1,3,2,1,-,1,1,-,17
S00089140,27,17,3,2,-,1,2,1,1,-,-,16
S00089141,35,22,1,1,5,1,2,1,1,1,-,21
S00089142,43,28,2,1,6,1,-,3,-,1,1,23
S00089143,28,18,1,1,1,3,3,1,-,-,-,18
S00089144,30,20,-,3,5,1,-,1,-,-,-,13
S00089145,38,23,4,2,5,2,2,-,-,-,-,19
S00089146,29,13,3,1,3,3,-,2,4,-,-,34
S00089147,34,15,8,3,4,1,2,-,1,-,-,24
S00089148,34,18,1,4,2,2,2,-,3,2,-,34
S00089149,36,14,4,2,4,2,5,2,3,-,-,38
S00089150,46,22,7,3,5,3,3,1,2,-,-,35
S00089151,14,9,1,-,-,2,1,-,1,-,-,11
S00089152,11,10,1,-,-,-,-,-,-,-,-,1
S00089153,17,14,1,-,1,-,1,-,-,-,-,4
S00089154,19,11,4,-,2,1,1,-,-,-,-,10
S00089155,30,23,1,-,5,-,-,1,-,-,-,8
S00089156,37,26,4,1,3,-,1,1,1,-,-,15
S00089157,30,23,2,-,2,1,-,-,1,1,-,14
S00089158,37,21,3,-,5,2,1,1,3,1,-,28
S00089159,25,17,2,2,1,-,-,1,1,1,-,13
S00089160,30,21,-,-,3,3,-,1,1,1,-,17
S00089161,32,23,1,1,3,-,3,1,-,-,-,13
S00089162,24,13,2,-,4,3,1,-,-,1,-,17
S00089163,32,17,1,2,5,1,3,-,2,1,-,26
S00089164,24,17,-,-,2,1,4,-,-,-,-,12
S00089165,31,23,-,2,1,3,1,-,1,-,-,14
S00089166,42,20,2,7,2,6,3,1,1,-,-,34
S00089167,35,25,1,3,3,2,1,-,-,-,-,13
S00089168,10,10,-,-,-,-,-,-,-,-,-,-
S00089169,32,16,1,1,5,-,2,-,5,1,1,32
S00089170,24,10,4,-,2,4,3,1,-,-,-,22
S00089171,19,15,-,1,-,-,-,1,2,-,-,9
S00089172,20,11,1,2,2,3,-,-,1,-,-,14
S00089173,46,30,3,3,4,4,1,-,-,1,-,24
S00089174,48,27,4,2,3,6,1,2,2,1,-,36
S00089175,37,18,5,1,7,5,1,-,-,-,-,25
S00089176,29,16,1,2,5,2,2,-,1,-,-,19
S00089177,39,19,2,8,6,2,1,1,-,-,-,24
S00089178,44,27,4,2,2,2,3,1,3,-,-,32
S00089179,53,31,3,4,6,3,2,2,1,1,-,34
S00089180,40,30,1,-,4,-,3,1,1,-,-,16
S00089181,29,19,2,1,1,1,1,1,2,-,1,20
S00089182,31,16,1,1,7,1,2,-,2,1,-,25
S00089183,29,12,4,1,6,2,2,2,-,-,-,23
S00089184,39,16,1,1,7,2,2,4,1,5,-,46
S00089185,41,24,1,3,4,-,3,2,2,2,-,30
S00089186,30,15,6,-,-,4,2,2,1,-,-,25
S00089187,18,15,1,1,-,1,-,-,-,-,-,4
S00089188,43,29,1,1,5,-,3,4,-,-,-,21
S00089189,42,25,3,1,5,4,-,3,-,1,-,26
S00089190,28,21,1,1,1,1,-,1,1,-,1,13
S00089191,36,25,5,1,1,2,1,-,-,1,-,16
S00089192,27,17,-,4,2,2,1,1,-,-,-,14
S00089193,35,26,4,3,1,1,-,-,-,-,-,10
S00089194,40,29,1,1,4,2,-,1,1,-,1,21
S00089195,39,23,1,1,4,2,1,1,2,2,2,34
S00089196,31,20,-,1,1,-,4,2,1,2,-,25
S00089197,38,24,2,-,3,2,4,3,-,-,-,23
S00089198,17,15,-,1,-,-,-,-,-,1,-,5
S00089199,20,9,-,-,1,3,3,-,-,4,-,27
S00089200,19,9,2,1,2,4,-,1,-,-,-,15
S00089201,29,15,2,-,4,2,2,3,1,-,-,23
S00089202,46,32,3,2,2,1,5,-,1,-,-,24
S00089203,58,27,2,4,7,3,5,7,1,2,-,53
S00089204,44,19,3,2,8,2,4,-,4,2,-,44
S00089205,35,22,1,2,2,2,4,1,-,-,1,22
S00089206,34,18,-,3,3,2,4,-,2,2,-,30
S00089207,28,10,3,1,7,3,2,-,2,-,-,27
S00089208,11,7,1,2,-,1,-,-,-,-,-,5
S00089209,19,14,2,-,1,2,-,-,-,-,-,7
S00089210,12,11,-,-,-,-,-,1,-,-,-,2
S00089211,13,11,-,1,1,-,-,-,-,-,-,2
S00089212,17,13,1,2,-,-,-,-,-,1,-,6
S00089213,13,9,3,-,-,1,-,-,-,-,-,5
S00089214,12,11,-,-,1,-,-,-,-,-,-,1
S00089215,14,8,1,-,2,1,1,-,1,-,-,10
S00089216,18,14,3,1,-,-,-,-,-,-,-,4
S00089217,14,10,1,2,-,1,-,-,-,-,-,5
S00089218,23,17,3,-,1,1,-,-,1,-,-,9
S00089219,14,8,2,2,1,1,-,-,-,-,-,7
S00089220,15,14,1,-,-,-,-,-,-,-,-,1
S00089221,26,18,1,2,3,1,-,-,-,1,-,12
S00089222,19,14,3,-,-,2,-,-,-,-,-,7
S00089223,13,10,1,1,-,-,-,-,-,1,-,5
S00089224,37,23,1,-,5,1,4,1,1,1,-,24
S00089225,11,8,3,-,-,-,-,-,-,-,-,3
S00089226,11,7,1,1,-,1,-,1,-,-,-,6
S00089227,24,21,1,1,-,1,-,-,-,-,-,4
S00089228,27,14,4,-,1,2,4,1,1,-,-,22
S00089229,25,17,2,-,-,1,4,-,-,1,-,15
S00089230,23,17,1,-,1,2,1,1,-,-,-,10
S00089231,19,14,3,2,-,-,-,-,-,-,-,5
S00089232,25,14,3,1,2,2,2,-,-,1,-,17
S00089233,26,15,1,-,1,2,5,1,-,-,1,21
S00089234,29,16,-,2,3,3,4,-,-,1,-,22
S00089235,20,16,3,-,-,-,1,-,-,-,-,6
S00089236,17,14,2,-,-,-,1,-,-,-,-,4
S00089237,37,23,3,-,2,4,3,2,-,-,-,23
S00089238,43,30,1,1,2,2,-,5,-,1,1,24
S00089239,34,21,6,-,4,1,1,1,-,-,-,16
S00089240,57,32,3,3,5,6,5,3,-,-,-,40
S00089241,20,15,1,1,-,-,1,1,-,1,-,9
S00089242,36,21,5,-,2,2,3,2,-,-,1,25
S00089243,37,26,-,-,4,3,-,3,-,-,1,19
S00089244,37,24,1,2,3,2,2,2,1,-,-,21
S00089245,24,19,-,-,2,1,2,-,-,-,-,8
S00089246,31,18,2,1,3,2,4,-,1,-,-,21
S00089247,53,36,4,2,3,4,3,-,-,1,-,26
S00089248,49,30,2,1,8,4,-,1,2,-,1,32
S00089249,33,18,2,3,1,3,4,1,1,-,-,25
S00089250,21,10,2,1,2,-,3,-,-,3,-,20
S00089251,23,12,2,-,1,3,2,2,-,1,-,20
S00089252,37,17,2,1,4,1,8,2,1,-,1,35
S00089253,40,26,3,1,2,1,5,1,1,-,-,23
S00089254,42,21,2,1,5,7,4,2,-,-,-,34
S00089255,37,26,5,1,-,1,1,-,2,1,-,19
S00089256,34,18,4,3,1,6,1,1,-,-,-,24
S00089257,28,17,3,-,1,1,-,4,-,1,1,20
S00089258,24,17,-,2,1,2,1,-,1,-,-,13
S00089259,24,16,1,3,-,1,1,-,1,1,-,14
S00089260,40,23,2,1,4,4,2,1,2,1,-,30
S00089261,43,20,9,3,5,4,2,-,-,-,-,29
S00089262,22,19,1,-,1,-,-,1,-,-,-,4
