oa_code,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
S00089038,50,3,10,33,4,36,2,8,23,3,14,1,2,10,1
S00089039,53,5,4,40,4,32,1,1,26,4,21,4,3,14,-
S00089040,48,9,13,22,4,21,4,2,14,1,27,5,11,8,3
S00089041,80,8,11,53,8,42,3,3,29,7,38,5,8,24,1
S00089042,26,2,3,21,-,15,1,1,13,-,11,1,2,8,-
S00089043,71,13,13,36,9,40,4,5,24,7,31,9,8,12,2
S00089044,37,-,8,23,6,24,-,4,15,5,13,-,4,8,1
S00089045,31,3,10,14,4,14,-,-,10,4,17,3,10,4,-
S00089046,72,7,20,41,4,48,4,11,29,4,24,3,9,12,-
S00089047,65,7,10,43,5,33,1,1,27,4,32,6,9,16,1
S00089048,45,5,10,24,6,26,1,2,17,6,19,4,8,7,-
S00089049,78,10,14,46,8,39,3,2,27,7,39,7,12,19,1
S00089050,50,2,10,35,3,21,-,-,18,3,29,2,10,17,-
S00089051,100,3,17,69,11,60,2,8,41,9,40,1,9,28,2
S00089052,96,10,18,53,15,46,3,3,28,12,50,7,15,25,3
S00089053,71,3,9,45,14,40,1,3,23,13,31,2,6,22,1
S00089054,56,3,6,40,7,36,1,4,27,4,20,2,2,13,3
S00089055,64,5,8,43,8,38,3,2,26,7,26,2,6,17,1
S00089056,63,1,5,48,9,36,-,1,27,8,27,1,4,21,1
S00089057,47,6,8,29,4,26,1,-,23,2,21,5,8,6,2
S00089058,70,5,6,54,5,46,1,3,38,4,24,4,3,16,1
S00089059,44,1,8,29,6,23,1,3,15,4,21,-,5,14,2
S00089060,41,1,5,35,-,27,1,1,25,-,14,-,4,10,-
S00089061,51,1,8,38,4,32,-,3,26,3,19,1,5,12,1
S00089062,30,1,8,17,4,18,1,3,10,4,12,-,5,7,-
S00089063,59,3,11,40,5,32,2,3,22,5,27,1,8,18,-
S00089064,56,2,4,46,4,31,-,2,26,3,25,2,2,20,1
S00089065,61,3,4,50,4,40,3,3,31,3,21,-,1,19,1
S00089066,40,4,4,26,6,23,1,3,13,6,17,3,1,13,-
S00089067,69,4,14,48,3,43,2,5,34,2,26,2,9,14,1
S00089068,54,4,11,34,5,28,2,4,18,4,26,2,7,16,1
S00089069,39,4,14,18,3,21,1,6,11,3,18,3,8,7,-
S00089070,86,2,12,65,7,53,2,5,39,7,33,-,7,26,-
S00089071,50,3,4,37,6,26,2,1,17,6,24,1,3,20,-
S00089072,78,7,9,54,8,40,4,2,27,7,38,3,7,27,1
S00089073,62,5,6,44,7,38,3,3,25,7,24,2,3,19,-
S00089074,92,1,16,64,11,53,-,4,39,10,39,1,12,25,1
S00089075,62,4,9,35,14,35,2,1,24,8,27,2,8,11,6
S00089076,62,5,7,42,8,33,2,1,24,6,29,3,6,18,2
S00089077,63,2,10,44,7,37,-,6,25,6,26,2,4,19,1
S00089078,20,-,6,11,3,10,-,-,7,3,10,-,6,4,-
S00089079,35,4,3,27,1,20,3,-,17,-,15,1,3,10,1
S00089080,39,2,11,20,6,18,-,4,9,5,21,2,7,11,1
S00089081,38,1,9,26,2,14,1,1,10,2,24,-,8,16,-
S00089082,33,3,5,21,4,14,-,1,11,2,19,3,4,10,2
S00089083,66,5,19,36,6,31,1,4,21,5,35,4,15,15,1
S00089084,45,3,11,24,7,24,-,2,15,7,21,3,9,9,-
S00089085,62,4,20,28,10,27,1,3,16,7,35,3,17,12,3
S00089086,53,1,9,36,7,31,-,2,22,7,22,1,7,14,-
S00089087,72,8,16,41,7,34,2,2,25,5,38,6,14,16,2
S00089088,40,1,9,22,8,23,-,2,15,6,17,1,7,7,2
S00089089,61,7,11,36,7,34,3,3,21,7,27,4,8,15,-
S00089090,55,6,5,41,3,31,3,1,24,3,24,3,4,17,-
S00089091,54,4,20,26,4,24,-,8,13,3,30,4,12,13,1
S00089092,67,4,15,44,4,37,-,5,28,4,30,4,10,16,-
S00089093,79,8,18,41,12,39,1,4,24,10,40,7,14,17,2
S00089094,32,5,7,19,1,14,1,2,10,1,18,4,5,9,-
S00089095,55,5,12,32,6,29,-,4,20,5,26,5,8,12,1
S00089096,47,2,16,24,5,18,-,-,13,5,29,2,16,11,-
S00089097,41,1,4,33,3,21,-,-,18,3,20,1,4,15,-
S00089098,36,5,7,21,3,22,-,2,17,3,14,5,5,4,-
S00089099,61,4,13,42,2,31,1,1,28,1,30,3,12,14,1
S00089100,41,5,11,19,6,22,2,3,12,5,19,3,8,7,1
S00089101,47,5,5,30,7,26,1,-,18,7,21,4,5,12,-
S00089102,41,3,8,28,2,17,1,-,15,1,24,2,8,13,1
S00089103,61,1,9,38,13,33,1,2,19,11,28,-,7,19,2
S00089104,52,3,7,31,11,29,2,2,17,8,23,1,5,14,3
S00089105,71,2,10,51,8,40,-,3,32,5,31,2,7,19,3
S00089106,60,3,6,42,9,35,-,2,25,8,25,3,4,17,1
S00089107,47,3,12,30,2,21,1,3,16,1,26,2,9,14,1
S00089108,56,2,14,38,2,28,-,1,25,2,28,2,13,13,-
S00089109,36,2,6,23,5,21,-,-,16,5,15,2,6,7,-
S00089110,63,2,16,38,7,36,1,5,23,7,27,1,11,15,-
S00089111,83,2,16,61,4,33,1,-,32,-,50,1,16,29,4
S00089112,79,4,14,54,7,43,-,4,32,7,36,4,10,22,-
S00089113,5,1,-,4,-,3,-,-,3,-,2,1,-,1,-
S00089114,48,6,15,24,3,22,3,3,14,2,26,3,12,10,1
S00089115,75,4,12,47,12,46,2,4,31,9,29,2,8,16,3
S00089116,86,7,23,48,8,37,1,3,27,6,49,6,20,21,2
S00089117,46,-,15,29,2,24,-,5,17,2,22,-,10,12,-
S00089118,84,7,16,47,14,45,2,3,27,13,39,5,13,20,1
S00089119,45,6,10,25,4,23,1,1,19,2,22,5,9,6,2
S00089120,42,2,5,26,9,27,1,3,16,7,15,1,2,10,2
S00089121,66,5,13,40,8,35,-,3,24,8,31,5,10,16,-
S00089122,24,5,2,14,3,13,1,-,9,3,11,4,2,5,-
S00089123,70,6,16,42,6,32,-,2,24,6,38,6,14,18,-
S00089124,41,3,10,19,9,22,1,2,11,8,19,2,8,8,1
S00089125,80,4,19,53,4,47,1,3,39,4,33,3,16,14,-
S00089126,47,4,17,21,5,17,-,1,13,3,30,4,16,8,2
S00089127,49,1,6,34,8,29,1,1,20,7,20,-,5,14,1
S00089128,52,7,16,24,5,24,1,4,15,4,28,6,12,9,1
S00089129,131,9,28,71,23,68,2,6,42,18,63,7,22,29,5
S00089130,52,3,9,33,7,21,-,2,14,5,31,3,7,19,2
S00089131,54,4,16,29,5,29,1,3,21,4,25,3,13,8,1
S00089132,56,1,8,38,9,33,-,4,21,8,23,1,4,17,1
S00089133,43,2,13,23,5,22,-,3,14,5,21,2,10,9,-
S00089134,66,8,15,37,6,35,3,3,23,6,31,5,12,14,-
S00089135,66,4,13,39,10,40,-,4,27,9,26,4,9,12,1
S00089136,57,3,9,36,9,34,-,2,24,8,23,3,7,12,1
S00089137,51,7,8,24,12,28,3,2,13,10,23,4,6,11,2
S00089138,4,2,-,2,-,3,1,-,2,-,1,1,-,-,-
S00089139,43,3,5,31,4,28,-,2,22,4,15,3,3,9,-
S00089140,59,1,9,39,10,34,1,1,22,10,25,-,8,17,-
S00089141,76,5,13,44,14,40,2,2,25,11,36,3,11,19,3
S00089142,77,11,18,41,7,38,4,5,22,7,39,7,13,19,-
S00089143,47,3,11,28,5,29,1,1,22,5,18,2,10,6,-
S00089144,46,4,9,27,6,24,-,1,18,5,22,4,8,9,1
S00089145,69,5,14,42,8,32,1,-,25,6,37,4,14,17,2
S00089146,61,8,10,38,5,31,-,4,23,4,30,8,6,15,1
S00089147,40,3,8,26,3,21,-,3,15,3,19,3,5,11,-
S00089148,50,4,9,33,4,30,1,2,23,4,20,3,7,10,-
S00089149,64,2,15,42,5,31,-,2,24,5,33,2,13,18,-
S00089150,60,4,17,35,4,23,1,-,19,3,37,3,17,16,1
S00089151,29,1,6,19,3,14,-,2,9,3,15,1,4,10,-
S00089152,23,1,8,12,2,14,1,2,9,2,9,-,6,3,-
S00089153,26,3,2,21,-,13,1,-,12,-,13,2,2,9,-
S00089154,40,1,9,26,4,19,1,1,13,4,21,-,8,13,-
S00089155,43,5,6,26,6,23,1,1,16,5,20,4,5,10,1
S00089156,44,4,5,29,6,25,1,1,17,6,19,3,4,12,-
S00089157,49,3,12,31,3,28,2,5,18,3,21,1,7,13,-
S00089158,72,6,18,44,4,38,3,3,29,3,34,3,15,15,1
S00089159,45,3,5,32,5,23,-,1,18,4,22,3,4,14,1
S00089160,52,3,9,33,7,25,-,3,16,6,27,3,6,17,1
S00089161,52,1,10,38,3,25,-,1,21,3,27,1,9,17,-
S00089162,36,3,7,22,4,17,-,3,11,3,19,3,4,11,1
S00089163,58,2,11,38,7,31,-,2,23,6,27,2,9,15,1
S00089164,38,3,12,15,8,19,-,3,9,7,19,3,9,6,1
S00089165,56,3,15,29,9,27,-,2,18,7,29,3,13,11,2
S00089166,73,7,19,42,5,32,-,2,26,4,41,7,17,16,1
S00089167,64,4,8,49,3,32,1,-,28,3,32,3,8,21,-
S00089168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00089169,56,5,14,28,9,28,3,1,18,6,28,2,13,10,3
S00089170,40,1,5,28,6,25,-,1,20,4,15,1,4,8,2
S00089171,32,1,6,19,6,16,-,2,8,6,16,1,4,11,-
S00089172,29,-,4,23,2,17,-,1,14,2,12,-,3,9,-
S00089173,80,3,15,53,9,40,1,2,29,8,40,2,13,24,1
S00089174,71,2,13,52,4,35,-,1,30,4,36,2,12,22,-
S00089175,60,6,14,35,5,29,2,2,21,4,31,4,12,14,1
S00089176,65,4,13,39,9,35,-,2,26,7,30,4,11,13,2
S00089177,70,-,16,44,10,34,-,2,22,10,36,-,14,22,-
S00089178,73,4,11,50,8,36,-,-,29,7,37,4,11,21,1
S00089179,90,9,16,53,12,43,4,2,26,11,47,5,14,27,1
S00089180,79,4,13,53,9,35,-,-,27,8,44,4,13,26,1
S00089181,50,-,7,37,6,30,-,1,23,6,20,-,6,14,-
S00089182,68,6,11,43,8,34,3,1,23,7,34,3,10,20,1
S00089183,46,2,9,27,8,24,-,2,15,7,22,2,7,12,1
S00089184,73,11,12,37,13,43,7,3,22,11,30,4,9,15,2
S00089185,63,10,6,32,15,36,1,1,21,13,27,9,5,11,2
S00089186,69,3,9,44,13,43,-,5,27,11,26,3,4,17,2
S00089187,42,3,4,29,6,24,1,1,17,5,18,2,3,12,1
S00089188,82,7,12,50,13,42,2,3,27,10,40,5,9,23,3
S00089189,83,6,10,56,11,42,2,1,30,9,41,4,9,26,2
S00089190,78,2,8,46,22,48,-,2,29,17,30,2,6,17,5
S00089191,98,4,9,64,21,58,-,2,37,19,40,4,7,27,2
S00089192,82,2,6,56,18,56,-,3,38,15,26,2,3,18,3
S00089193,99,4,8,66,21,60,2,3,37,18,39,2,5,29,3
S00089194,65,2,14,38,11,38,1,5,24,8,27,1,9,14,3
S00089195,60,4,11,31,14,32,1,2,20,9,28,3,9,11,5
S00089196,61,1,8,40,12,40,-,3,27,10,21,1,5,13,2
S00089197,63,4,15,34,10,32,2,3,19,8,31,2,12,15,2
S00089198,53,3,7,34,9,37,2,2,25,8,16,1,5,9,1
S00089199,48,4,9,21,14,24,-,1,14,9,24,4,8,7,5
S00089200,35,1,7,19,8,18,1,1,12,4,17,-,6,7,4
S00089201,43,4,8,23,8,24,3,1,14,6,19,1,7,9,2
S00089202,93,5,12,64,12,49,1,4,36,8,44,4,8,28,4
S00089203,108,8,12,70,18,62,3,4,42,13,46,5,8,28,5
S00089204,81,9,11,50,11,46,5,2,28,11,35,4,9,22,-
S00089205,75,11,7,47,10,37,3,1,25,8,38,8,6,22,2
S00089206,61,3,11,36,11,35,1,2,24,8,26,2,9,12,3
S00089207,50,1,7,36,6,27,1,1,19,6,23,-,6,17,-
S00089208,58,4,4,49,1,29,1,-,27,1,29,3,4,22,-
S00089209,54,2,3,39,10,31,-,-,24,7,23,2,3,15,3
S00089210,58,6,9,36,7,31,3,5,18,5,27,3,4,18,2
S00089211,56,3,9,41,3,34,2,5,25,2,22,1,4,16,1
S00089212,72,5,9,51,7,40,2,2,31,5,32,3,7,20,2
S00089213,50,4,4,35,7,27,1,-,20,6,23,3,4,15,1
S00089214,50,5,4,33,8,25,1,-,17,7,25,4,4,16,1
S00089215,38,2,3,27,6,19,1,2,10,6,19,1,1,17,-
S00089216,66,3,8,51,4,39,1,5,30,3,27,2,3,21,1
S00089217,56,6,6,37,7,31,4,3,18,6,25,2,3,19,1
S00089218,86,3,8,68,7,57,2,3,45,7,29,1,5,23,-
S00089219,59,3,4,47,5,28,1,-,24,3,31,2,4,23,2
S00089220,43,4,3,31,5,24,1,1,19,3,19,3,2,12,2
S00089221,101,8,15,71,7,46,4,8,31,3,55,4,7,40,4
S00089222,72,1,7,55,9,41,-,4,32,5,31,1,3,23,4
S00089223,46,3,5,33,5,26,1,1,20,4,20,2,4,13,1
S00089224,87,9,16,54,8,51,4,6,36,5,36,5,10,18,3
S00089225,49,6,6,32,5,32,3,3,22,4,17,3,3,10,1
S00089226,47,2,7,33,5,29,-,4,21,4,18,2,3,12,1
S00089227,94,5,15,64,10,54,1,7,40,6,40,4,8,24,4
S00089228,63,5,13,32,13,34,3,3,18,10,29,2,10,14,3
S00089229,66,7,10,41,8,37,2,4,26,5,29,5,6,15,3
S00089230,61,3,8,42,8,35,-,2,27,6,26,3,6,15,2
S00089231,66,4,7,45,10,32,1,2,24,5,34,3,5,21,5
S00089232,60,-,7,40,13,39,-,3,25,11,21,-,4,15,2
S00089233,46,4,9,20,13,24,-,-,14,10,22,4,9,6,3
S00089234,55,4,11,26,14,31,1,2,15,13,24,3,9,11,1
S00089235,77,2,7,59,9,41,-,3,32,6,36,2,4,27,3
S00089236,64,2,2,53,7,38,1,2,30,5,26,1,-,23,2
S00089237,67,3,8,43,13,35,2,-,21,12,32,1,8,22,1
S00089238,69,5,16,37,11,36,2,4,19,11,33,3,12,18,-
S00089239,59,3,8,40,8,33,-,-,27,6,26,3,8,13,2
S00089240,100,9,22,51,18,52,3,5,31,13,48,6,17,20,5
S00089241,29,4,4,12,9,17,3,1,7,6,12,1,3,5,3
S00089242,69,6,16,41,6,37,4,3,26,4,32,2,13,15,2
S00089243,60,8,11,34,7,33,2,4,22,5,27,6,7,12,2
S00089244,59,4,9,35,11,30,-,-,19,11,29,4,9,16,-
S00089245,45,3,6,28,8,22,1,-,16,5,23,2,6,12,3
S00089246,40,2,10,23,5,23,-,4,15,4,17,2,6,8,1
S00089247,79,4,14,56,5,46,1,5,37,3,33,3,9,19,2
S00089248,123,11,20,73,19,73,1,8,46,18,50,10,12,27,1
S00089249,60,3,7,34,16,34,-,-,21,13,26,3,7,13,3
S00089250,56,3,5,30,18,29,-,-,17,12,27,3,5,13,6
S00089251,61,6,12,32,11,30,2,4,16,8,31,4,8,16,3
S00089252,59,5,8,33,13,34,2,1,23,8,25,3,7,10,5
S00089253,68,7,12,43,6,36,2,3,27,4,32,5,9,16,2
S00089254,69,6,9,36,18,41,1,2,22,16,28,5,7,14,2
S00089255,76,2,15,50,9,41,1,3,30,7,35,1,12,20,2
S00089256,62,3,11,40,8,36,1,3,24,8,26,2,8,16,-
S00089257,67,11,9,35,12,32,4,1,19,8,35,7,8,16,4
S00089258,60,5,3,44,8,36,1,2,27,6,24,4,1,17,2
S00089259,57,4,9,39,5,33,1,2,26,4,24,3,7,13,1
S00089260,84,7,12,53,12,45,3,3,31,8,39,4,9,22,4
S00089261,100,5,15,71,9,51,3,5,38,5,49,2,10,33,4
S00089262,68,4,10,47,7,33,1,4,23,5,35,3,6,24,2
S00089263,72,4,7,52,9,45,2,5,30,8,27,2,2,22,1
S00089264,98,6,8,64,20,52,2,2,34,14,46,4,6,30,6
S00089265,68,8,7,48,5,34,1,3,27,3,34,7,4,21,2
S00089266,75,4,10,51,10,39,2,2,25,10,36,2,8,26,-
S00089267,57,3,9,42,3,36,2,4,29,1,21,1,5,13,2
S00089268,84,2,3,72,7,49,1,1,40,7,35,1,2,32,-
S00089269,77,4,6,57,10,41,2,1,29,9,36,2,5,28,1
S00089270,95,8,7,63,17,56,6,-,36,14,39,2,7,27,3
S00089271,49,5,6,26,12,26,1,1,13,11,23,4,5,13,1
