oa_code,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
S00097090,58,2,18,35,3,26,2,2,19,3,32,-,16,16,-
S00097091,59,3,11,38,7,28,-,-,23,5,31,3,11,15,2
S00097092,37,1,6,25,5,20,-,-,16,4,17,1,6,9,1
S00097093,64,-,7,52,5,34,-,2,29,3,30,-,5,23,2
S00097094,27,1,7,14,5,14,-,2,8,4,13,1,5,6,1
S00097095,120,5,34,69,12,59,1,8,40,10,61,4,26,29,2
S00097096,79,7,13,54,5,40,1,2,32,5,39,6,11,22,-
S00097097,60,4,13,39,4,29,1,4,21,3,31,3,9,18,1
S00097098,54,1,10,39,4,25,-,5,19,1,29,1,5,20,3
S00097099,52,2,5,38,7,26,1,2,19,4,26,1,3,19,3
S00097100,40,2,3,33,2,20,1,1,16,2,20,1,2,17,-
S00097101,25,-,8,15,2,10,-,-,8,2,15,-,8,7,-
S00097102,32,-,3,27,2,12,-,1,9,2,20,-,2,18,-
S00097103,41,3,8,27,3,18,1,2,12,3,23,2,6,15,-
S00097104,98,2,19,69,8,52,-,2,44,6,46,2,17,25,2
S00097105,32,3,4,22,3,15,-,-,12,3,17,3,4,10,-
S00097106,100,4,19,70,7,53,1,2,44,6,47,3,17,26,1
S00097107,71,7,15,44,5,35,2,3,25,5,36,5,12,19,-
S00097108,39,-,8,25,6,19,-,3,14,2,20,-,5,11,4
S00097109,86,7,16,51,12,46,2,2,31,11,40,5,14,20,1
S00097110,46,5,8,25,8,29,2,3,16,8,17,3,5,9,-
S00097111,27,3,7,17,-,17,2,3,12,-,10,1,4,5,-
S00097112,79,2,17,53,7,42,-,4,31,7,37,2,13,22,-
S00097113,49,4,7,28,10,24,1,1,12,10,25,3,6,16,-
S00097114,44,2,11,24,7,22,1,-,17,4,22,1,11,7,3
S00097115,60,4,9,34,13,31,2,2,19,8,29,2,7,15,5
S00097116,83,5,20,39,19,42,1,3,21,17,41,4,17,18,2
S00097117,42,3,13,18,8,22,-,3,11,8,20,3,10,7,-
S00097118,95,6,19,47,23,55,1,4,29,21,40,5,15,18,2
S00097119,64,3,17,23,21,38,-,3,17,18,26,3,14,6,3
S00097120,57,3,13,30,11,30,-,1,20,9,27,3,12,10,2
S00097121,80,4,14,36,26,44,-,2,17,25,36,4,12,19,1
S00097122,46,6,12,14,14,20,1,1,7,11,26,5,11,7,3
S00097123,74,5,12,42,15,38,-,-,27,11,36,5,12,15,4
S00097124,52,3,6,27,16,30,2,1,15,12,22,1,5,12,4
S00097125,55,6,14,24,11,28,3,3,13,9,27,3,11,11,2
S00097126,46,6,12,20,8,24,2,2,14,6,22,4,10,6,2
S00097127,38,4,6,17,11,24,3,-,10,11,14,1,6,7,-
S00097128,72,10,19,27,16,37,2,4,17,14,35,8,15,10,2
S00097129,27,4,8,10,5,17,3,3,7,4,10,1,5,3,1
S00097130,26,2,2,14,8,15,-,1,8,6,11,2,1,6,2
S00097131,52,7,12,28,5,30,2,5,20,3,22,5,7,8,2
S00097132,59,3,17,27,12,36,2,7,16,11,23,1,10,11,1
S00097133,62,4,13,32,13,38,3,2,21,12,24,1,11,11,1
S00097134,85,5,17,46,17,50,-,3,34,13,35,5,14,12,4
S00097135,58,6,5,36,11,31,-,-,23,8,27,6,5,13,3
S00097136,74,4,16,38,16,40,-,3,27,10,34,4,13,11,6
S00097137,55,4,12,28,11,24,-,3,14,7,31,4,9,14,4
S00097138,46,2,12,20,12,24,1,2,11,10,22,1,10,9,2
S00097139,69,5,21,35,8,39,2,8,23,6,30,3,13,12,2
S00097140,52,5,17,23,7,28,1,7,15,5,24,4,10,8,2
S00097141,97,3,18,54,22,52,-,4,29,19,45,3,14,25,3
S00097142,93,13,21,39,20,51,2,5,27,17,42,11,16,12,3
S00097143,44,6,10,20,8,21,1,1,11,8,23,5,9,9,-
S00097144,54,5,13,30,6,28,1,2,20,5,26,4,11,10,1
S00097145,72,4,21,37,10,39,1,5,24,9,33,3,16,13,1
S00097146,56,5,6,34,11,33,1,3,19,10,23,4,3,15,1
S00097147,69,5,17,30,17,37,2,3,19,13,32,3,14,11,4
S00097148,101,4,16,67,14,60,1,5,41,13,41,3,11,26,1
S00097149,56,5,9,24,18,31,-,2,11,18,25,5,7,13,-
S00097150,77,5,13,36,23,47,1,4,23,19,30,4,9,13,4
S00097151,44,3,10,21,10,24,1,3,13,7,20,2,7,8,3
S00097152,67,5,18,32,12,35,1,5,17,12,32,4,13,15,-
S00097153,106,9,19,56,22,58,2,5,32,19,48,7,14,24,3
S00097154,68,7,14,24,23,40,2,3,18,17,28,5,11,6,6
S00097155,42,3,5,12,22,26,-,-,7,19,16,3,5,5,3
S00097156,85,9,17,36,23,46,1,2,24,19,39,8,15,12,4
S00097157,100,5,20,45,30,47,1,2,21,23,53,4,18,24,7
S00097158,66,6,10,34,16,32,1,3,18,10,34,5,7,16,6
S00097159,68,2,15,36,15,41,-,6,23,12,27,2,9,13,3
S00097160,50,5,13,18,14,28,1,3,11,13,22,4,10,7,1
S00097161,123,9,29,42,43,65,3,7,23,32,58,6,22,19,11
S00097162,66,4,12,32,18,37,1,2,19,15,29,3,10,13,3
S00097163,63,1,12,25,25,39,-,4,18,17,24,1,8,7,8
S00097164,67,4,17,29,17,37,1,4,17,15,30,3,13,12,2
S00097165,26,1,6,13,6,12,-,1,5,6,14,1,5,8,-
S00097166,52,1,16,27,8,22,-,1,14,7,30,1,15,13,1
S00097167,51,3,14,20,14,25,-,3,10,12,26,3,11,10,2
S00097168,62,4,11,32,15,34,2,2,19,11,28,2,9,13,4
S00097169,22,2,7,12,1,7,-,1,5,1,15,2,6,7,-
S00097170,111,6,23,65,17,60,3,2,40,15,51,3,21,25,2
S00097171,66,6,11,41,8,33,1,2,22,8,33,5,9,19,-
S00097172,55,-,14,32,9,28,-,2,20,6,27,-,12,12,3
S00097173,90,5,25,39,21,46,-,6,24,16,44,5,19,15,5
S00097174,49,4,6,31,8,23,1,1,14,7,26,3,5,17,1
S00097175,51,2,14,29,6,23,-,4,15,4,28,2,10,14,2
S00097176,72,8,16,26,22,38,-,1,18,19,34,8,15,8,3
S00097177,40,-,18,18,4,18,-,2,12,4,22,-,16,6,-
S00097178,44,1,7,23,13,28,1,1,15,11,16,-,6,8,2
S00097179,33,2,8,14,9,16,1,2,8,5,17,1,6,6,4
S00097180,47,2,9,32,4,31,-,3,24,4,16,2,6,8,-
S00097181,70,6,18,34,12,35,-,4,21,10,35,6,14,13,2
S00097182,53,4,14,30,5,25,-,2,18,5,28,4,12,12,-
S00097183,62,6,13,33,10,30,1,3,21,5,32,5,10,12,5
S00097184,53,2,12,25,14,28,-,4,11,13,25,2,8,14,1
S00097185,58,5,10,28,15,31,1,1,18,11,27,4,9,10,4
S00097186,42,3,8,17,14,24,-,3,10,11,18,3,5,7,3
S00097187,69,2,11,38,18,39,-,4,20,15,30,2,7,18,3
S00097188,60,2,10,32,16,33,-,3,18,12,27,2,7,14,4
S00097189,65,9,10,33,13,36,2,1,22,11,29,7,9,11,2
S00097190,42,3,7,16,16,25,-,-,12,13,17,3,7,4,3
S00097191,29,1,3,15,10,16,1,1,7,7,13,-,2,8,3
S00097192,40,4,10,22,4,24,2,5,14,3,16,2,5,8,1
S00097193,64,6,10,29,19,32,2,2,15,13,32,4,8,14,6
S00097194,108,7,21,51,29,61,5,1,32,23,47,2,20,19,6
S00097195,67,5,15,29,18,31,1,2,10,18,36,4,13,19,-
S00097196,65,2,12,37,14,32,-,2,19,11,33,2,10,18,3
S00097197,48,5,16,16,11,24,-,5,10,9,24,5,11,6,2
S00097198,69,13,10,35,11,40,3,3,25,9,29,10,7,10,2
S00097199,47,1,10,29,7,26,-,2,17,7,21,1,8,12,-
S00097200,77,8,14,35,20,40,2,3,19,16,37,6,11,16,4
S00097201,48,1,8,24,15,26,-,1,11,14,22,1,7,13,1
S00097202,40,4,5,19,12,22,-,2,12,8,18,4,3,7,4
S00097203,70,9,13,34,14,37,2,3,19,13,33,7,10,15,1
S00097204,54,1,17,22,14,29,1,3,11,14,25,-,14,11,-
S00097205,64,10,8,38,8,31,1,2,22,6,33,9,6,16,2
S00097206,90,7,27,48,8,42,1,5,30,6,48,6,22,18,2
S00097207,72,6,18,39,9,38,3,4,24,7,34,3,14,15,2
S00097208,78,9,12,50,7,39,4,1,28,6,39,5,11,22,1
S00097209,67,5,10,31,21,35,-,2,18,15,32,5,8,13,6
S00097210,81,4,20,42,15,44,1,5,29,9,37,3,15,13,6
S00097211,96,4,27,50,15,52,2,5,32,13,44,2,22,18,2
S00097212,91,8,28,40,15,45,1,4,25,15,46,7,24,15,-
S00097213,62,2,12,39,9,34,1,1,24,8,28,1,11,15,1
S00097214,88,9,11,51,17,47,4,1,28,14,41,5,10,23,3
S00097215,64,7,14,37,6,25,1,3,16,5,39,6,11,21,1
S00097216,72,5,17,44,6,31,-,3,23,5,41,5,14,21,1
S00097217,88,3,19,53,13,51,1,2,35,13,37,2,17,18,-
S00097218,88,3,25,43,17,47,1,6,24,16,41,2,19,19,1
S00097219,79,5,17,43,14,39,-,2,23,14,40,5,15,20,-
S00097220,61,4,20,27,10,31,-,6,16,9,30,4,14,11,1
S00097221,48,4,8,25,11,27,2,1,16,8,21,2,7,9,3
S00097222,41,5,6,25,5,22,1,-,16,5,19,4,6,9,-
S00097223,97,4,30,44,19,45,-,8,19,18,52,4,22,25,1
S00097224,105,5,19,62,19,55,-,3,35,17,50,5,16,27,2
S00097225,40,3,4,23,10,22,1,-,14,7,18,2,4,9,3
S00097226,44,2,11,17,14,23,1,3,10,9,21,1,8,7,5
S00097227,58,2,18,19,19,30,1,4,11,14,28,1,14,8,5
S00097228,84,6,12,45,21,50,2,3,29,16,34,4,9,16,5
S00097229,36,1,7,25,3,22,-,3,16,3,14,1,4,9,-
S00097230,69,3,20,43,3,34,-,4,27,3,35,3,16,16,-
S00097231,39,3,9,22,5,21,-,1,15,5,18,3,8,7,-
S00097232,84,9,14,45,16,45,3,7,25,10,39,6,7,20,6
S00097233,35,6,8,14,7,17,2,1,8,6,18,4,7,6,1
S00097234,86,10,20,34,22,46,2,9,20,15,40,8,11,14,7
S00097235,64,7,15,30,12,34,1,6,17,10,30,6,9,13,2
S00097236,84,5,20,38,21,43,1,3,24,15,41,4,17,14,6
S00097237,70,6,17,33,14,40,3,4,22,11,30,3,13,11,3
S00097238,81,7,24,35,15,42,1,2,25,14,39,6,22,10,1
S00097239,85,7,21,38,19,47,1,5,27,14,38,6,16,11,5
S00097240,29,1,12,16,-,11,-,2,9,-,18,1,10,7,-
S00097241,35,4,4,16,11,23,2,1,9,11,12,2,3,7,-
S00097242,58,7,19,25,7,32,1,5,20,6,26,6,14,5,1
S00097243,131,5,26,85,15,66,1,2,52,11,65,4,24,33,4
S00097244,72,2,11,53,6,37,1,-,30,6,35,1,11,23,-
S00097245,95,2,22,59,12,48,-,2,38,8,47,2,20,21,4
S00097246,35,4,6,20,5,20,-,3,13,4,15,4,3,7,1
S00097247,70,3,19,42,6,36,1,4,26,5,34,2,15,16,1
S00097248,90,3,18,55,14,49,-,2,38,9,41,3,16,17,5
S00097249,74,4,13,48,9,34,-,-,26,8,40,4,13,22,1
S00097250,92,2,21,60,9,46,1,1,37,7,46,1,20,23,2
S00097251,81,13,23,22,23,46,7,5,16,18,35,6,18,6,5
S00097252,110,11,22,45,32,55,3,5,24,23,55,8,17,21,9
S00097253,89,10,21,43,15,47,4,6,25,12,42,6,15,18,3
S00097254,61,7,17,19,18,33,1,5,10,17,28,6,12,9,1
S00097255,70,1,16,31,22,40,1,6,16,17,30,-,10,15,5
S00097256,54,7,13,28,6,32,2,4,20,6,22,5,9,8,-
S00097257,45,2,15,23,5,24,-,4,15,5,21,2,11,8,-
S00097258,26,1,5,15,5,13,-,-,8,5,13,1,5,7,-
S00097259,81,5,14,42,20,50,1,4,28,17,31,4,10,14,3
S00097260,39,2,7,21,9,24,-,2,17,5,15,2,5,4,4
S00097261,50,7,11,24,8,28,5,1,14,8,22,2,10,10,-
S00097262,30,2,5,17,6,12,-,-,8,4,18,2,5,9,2
S00097263,41,3,10,25,3,22,1,3,16,2,19,2,7,9,1
S00097264,34,5,7,16,6,18,3,-,10,5,16,2,7,6,1
S00097265,43,3,7,28,5,23,1,2,15,5,20,2,5,13,-
S00097266,44,5,13,20,6,25,1,5,15,4,19,4,8,5,2
S00097267,27,2,7,14,4,15,1,2,8,4,12,1,5,6,-
S00097268,77,5,22,37,13,41,1,4,25,11,36,4,18,12,2
S00097269,51,9,13,24,5,27,2,5,16,4,24,7,8,8,1
S00097270,30,3,2,19,6,16,-,1,10,5,14,3,1,9,1
S00097271,42,11,16,13,2,20,4,6,8,2,22,7,10,5,-
S00097272,30,2,12,14,2,16,1,3,10,2,14,1,9,4,-
S00097273,25,5,5,10,5,12,1,1,5,5,13,4,4,5,-
S00097274,47,3,15,24,5,21,1,2,13,5,26,2,13,11,-
S00097275,27,-,10,14,3,13,-,4,6,3,14,-,6,8,-
S00097276,63,2,10,39,12,34,1,2,19,12,29,1,8,20,-
S00097277,63,6,20,26,11,34,2,6,18,8,29,4,14,8,3
S00097278,50,2,7,30,11,29,1,-,17,11,21,1,7,13,-
S00097279,64,7,11,26,20,34,-,2,14,18,30,7,9,12,2
S00097280,42,2,12,26,2,21,2,1,16,2,21,-,11,10,-
S00097281,43,4,10,26,3,18,-,3,12,3,25,4,7,14,-
S00097282,59,6,16,28,9,30,-,5,17,8,29,6,11,11,1
S00097283,29,2,11,14,2,12,-,1,9,2,17,2,10,5,-
S00097284,59,6,10,35,8,36,2,4,22,8,23,4,6,13,-
S00097285,39,5,7,15,12,23,2,1,9,11,16,3,6,6,1
S00097286,44,5,7,18,14,26,3,1,12,10,18,2,6,6,4
S00097287,89,6,14,45,24,50,-,6,24,20,39,6,8,21,4
S00097288,63,5,20,34,4,28,1,5,18,4,35,4,15,16,-
S00097289,54,1,17,23,13,25,-,4,13,8,29,1,13,10,5
S00097290,47,5,12,18,12,24,-,4,11,9,23,5,8,7,3
S00097291,46,4,9,23,10,25,1,2,14,8,21,3,7,9,2
S00097292,18,2,7,6,3,7,-,1,3,3,11,2,6,3,-
S00097293,67,2,15,32,18,39,-,2,21,16,28,2,13,11,2
S00097294,71,10,16,29,16,34,2,3,17,12,37,8,13,12,4
S00097295,53,3,13,23,14,24,-,2,13,9,29,3,11,10,5
S00097296,54,-,15,30,9,30,-,3,19,8,24,-,12,11,1
S00097297,22,1,6,13,2,12,-,1,9,2,10,1,5,4,-
S00097298,58,3,10,28,17,34,-,1,21,12,24,3,9,7,5
S00097299,50,6,6,24,14,28,3,1,14,10,22,3,5,10,4
S00097300,106,6,20,47,33,60,2,4,26,28,46,4,16,21,5
S00097301,32,4,5,20,3,19,2,1,13,3,13,2,4,7,-
S00097302,29,-,4,15,10,16,-,1,7,8,13,-,3,8,2
S00097303,87,5,17,38,27,47,1,3,20,23,40,4,14,18,4
S00097304,46,9,11,19,7,24,3,3,12,6,22,6,8,7,1
S00097305,49,1,7,29,12,31,-,1,21,9,18,1,6,8,3
S00097306,76,5,16,31,24,41,1,7,14,19,35,4,9,17,5
S00097307,88,11,22,36,19,49,4,6,21,18,39,7,16,15,1
S00097308,45,1,12,22,10,20,1,1,9,9,25,-,11,13,1
S00097309,59,3,16,32,8,28,2,-,19,7,31,1,16,13,1
S00097310,92,6,21,39,26,48,2,3,21,22,44,4,18,18,4
S00097311,88,11,13,35,29,43,2,2,16,23,45,9,11,19,6
S00097312,17,2,4,9,2,9,1,1,6,1,8,1,3,3,1
S00097313,26,2,5,13,6,15,-,3,8,4,11,2,2,5,2
S00097314,23,-,6,8,9,13,-,-,7,6,10,-,6,1,3
S00097315,34,4,13,9,8,18,-,4,7,7,16,4,9,2,1
S00097316,23,1,4,8,10,12,-,-,3,9,11,1,4,5,1
S00097317,34,5,7,15,7,15,1,5,6,3,19,4,2,9,4
S00097318,24,1,3,8,12,15,-,1,5,9,9,1,2,3,3
S00097319,25,1,6,12,6,11,-,2,6,3,14,1,4,6,3
S00097320,37,2,8,17,10,21,-,2,11,8,16,2,6,6,2
S00097321,53,6,10,27,10,26,1,2,14,9,27,5,8,13,1
S00097322,37,3,9,18,7,19,1,4,8,6,18,2,5,10,1
S00097323,61,3,10,30,18,34,1,1,17,15,27,2,9,13,3
S00097324,44,2,11,21,10,23,-,4,13,6,21,2,7,8,4
S00097325,48,-,12,25,11,25,-,-,16,9,23,-,12,9,2
S00097326,42,2,9,22,9,22,1,-,15,6,20,1,9,7,3
S00097327,56,3,11,38,4,23,-,1,19,3,33,3,10,19,1
S00097328,79,3,17,34,25,44,1,4,19,20,35,2,13,15,5
S00097329,75,10,10,36,19,41,2,2,22,15,34,8,8,14,4
S00097330,65,4,14,34,13,35,1,2,20,12,30,3,12,14,1
S00097331,79,6,23,33,17,38,1,5,20,12,41,5,18,13,5
S00097332,32,2,7,13,10,18,-,1,9,8,14,2,6,4,2
S00097333,50,3,12,25,10,27,-,3,16,8,23,3,9,9,2
S00097334,33,3,10,16,4,17,1,3,9,4,16,2,7,7,-
S00097335,72,5,14,38,15,39,1,2,23,13,33,4,12,15,2
S00097336,36,5,10,11,10,18,2,1,5,10,18,3,9,6,-
S00097337,35,2,14,14,5,16,-,5,6,5,19,2,9,8,-
S00097338,58,5,16,24,13,33,3,4,14,12,25,2,12,10,1
S00097339,64,4,25,28,7,28,-,3,19,6,36,4,22,9,1
S00097340,84,9,18,33,24,43,2,2,18,21,41,7,16,15,3
S00097341,56,3,15,30,8,31,-,3,21,7,25,3,12,9,1
S00097342,71,3,18,40,10,38,-,3,26,9,33,3,15,14,1
S00097343,58,4,18,23,13,26,1,3,13,9,32,3,15,10,4
S00097344,101,4,27,34,36,57,1,3,22,31,44,3,24,12,5
S00097345,30,4,6,15,5,18,-,3,11,4,12,4,3,4,1
S00097346,40,2,15,17,6,19,-,2,12,5,21,2,13,5,1
S00097347,18,4,2,7,5,13,2,-,6,5,5,2,2,1,-
S00097348,81,9,20,34,18,37,2,5,16,14,44,7,15,18,4
S00097349,55,5,11,26,13,26,-,2,12,12,29,5,9,14,1
S00097350,79,3,15,34,27,44,1,2,20,21,35,2,13,14,6
S00097351,42,2,12,19,9,25,2,3,11,9,17,-,9,8,-
S00097352,34,1,13,15,5,14,-,2,9,3,20,1,11,6,2
S00097353,69,3,16,27,23,37,-,3,18,16,32,3,13,9,7
S00097354,60,5,20,26,9,29,-,3,18,8,31,5,17,8,1
S00097355,23,1,6,14,2,11,1,2,7,1,12,-,4,7,1
S00097356,41,2,8,27,4,19,2,-,13,4,22,-,8,14,-
S00097357,29,1,8,11,9,12,-,2,5,5,17,1,6,6,4
S00097358,42,3,8,20,11,22,2,2,8,10,20,1,6,12,1
S00097359,61,3,14,20,24,31,1,1,10,19,30,2,13,10,5
S00097360,80,11,11,48,10,39,3,2,26,8,41,8,9,22,2
S00097361,31,5,8,12,6,15,-,1,8,6,16,5,7,4,-
S00097362,32,7,6,11,8,17,2,1,8,6,15,5,5,3,2
S00097363,56,11,13,27,5,25,2,3,16,4,31,9,10,11,1
S00097364,58,2,18,29,9,28,1,4,15,8,30,1,14,14,1
S00097365,56,5,11,33,7,30,1,1,22,6,26,4,10,11,1
S00097366,61,4,16,26,15,35,1,3,20,11,26,3,13,6,4
S00097367,56,4,13,34,5,27,-,4,18,5,29,4,9,16,-
S00097368,52,1,17,18,16,28,-,5,11,12,24,1,12,7,4
S00097369,77,10,22,38,7,35,3,5,21,6,42,7,17,17,1
S00097370,33,3,6,16,8,19,1,1,11,6,14,2,5,5,2
S00097371,63,2,11,35,15,40,1,3,24,12,23,1,8,11,3
S00097372,36,1,5,22,8,21,-,1,13,7,15,1,4,9,1
S00097373,34,4,9,9,12,17,1,1,6,9,17,3,8,3,3
S00097374,60,3,17,25,15,31,2,4,13,12,29,1,13,12,3
S00097375,52,2,14,20,16,27,1,1,12,13,25,1,13,8,3
S00097376,44,5,11,18,10,22,1,5,11,5,22,4,6,7,5
S00097377,70,4,18,32,16,34,2,5,15,12,36,2,13,17,4
S00097378,64,6,16,27,15,29,-,5,13,11,35,6,11,14,4
S00097379,37,6,8,14,9,20,2,1,9,8,17,4,7,5,1
S00097380,40,6,12,19,3,23,2,4,14,3,17,4,8,5,-
S00097381,40,4,8,13,15,20,1,2,7,10,20,3,6,6,5
S00097382,59,7,7,34,11,30,1,3,18,8,29,6,4,16,3
S00097383,58,9,9,28,12,34,4,2,19,9,24,5,7,9,3
S00097384,41,4,7,21,9,26,-,3,15,8,15,4,4,6,1
S00097385,42,2,11,19,10,23,-,2,12,9,19,2,9,7,1
S00097386,50,7,8,26,9,28,-,1,20,7,22,7,7,6,2
S00097387,40,5,11,14,10,26,3,4,13,6,14,2,7,1,4
S00097388,41,4,9,27,1,20,1,3,16,-,21,3,6,11,1
S00097389,46,5,12,18,11,28,1,7,11,9,18,4,5,7,2
S00097390,73,5,8,37,23,40,2,1,18,19,33,3,7,19,4
S00097391,40,2,15,17,6,18,-,3,11,4,22,2,12,6,2
S00097392,64,2,16,22,24,34,-,3,12,19,30,2,13,10,5
S00097393,52,5,9,24,14,26,2,2,12,10,26,3,7,12,4
S00097394,37,2,9,14,12,23,1,2,10,10,14,1,7,4,2
S00097395,65,6,8,25,26,41,1,1,16,23,24,5,7,9,3
S00097396,35,2,5,17,11,17,-,1,9,7,18,2,4,8,4
S00097397,41,-,11,22,8,27,-,5,15,7,14,-,6,7,1
S00097398,31,2,4,21,4,15,-,1,11,3,16,2,3,10,1
S00097399,45,7,9,20,9,25,3,4,11,7,20,4,5,9,2
S00097400,63,6,16,23,18,34,-,3,14,17,29,6,13,9,1
S00097401,22,2,9,11,-,11,1,1,9,-,11,1,8,2,-
S00097402,40,2,12,17,9,20,1,2,12,5,20,1,10,5,4
S00097403,33,5,7,16,5,21,1,2,15,3,12,4,5,1,2
S00097404,71,10,10,24,27,38,-,3,12,23,33,10,7,12,4
S00097405,40,4,12,18,6,22,1,4,12,5,18,3,8,6,1
S00097406,26,3,7,14,2,13,-,2,9,2,13,3,5,5,-
S00097407,22,5,1,9,7,13,2,1,4,6,9,3,-,5,1
S00097408,41,3,6,18,14,22,-,1,10,11,19,3,5,8,3
S00097409,28,4,7,13,4,16,1,3,9,3,12,3,4,4,1
S00097410,32,3,7,15,7,14,2,-,7,5,18,1,7,8,2
S00097411,56,6,15,15,20,27,2,4,6,15,29,4,11,9,5
S00097412,44,6,10,15,13,23,2,2,9,10,21,4,8,6,3
S00097413,41,1,14,15,11,25,-,3,12,10,16,1,11,3,1
S00097414,55,8,15,16,16,28,-,4,10,14,27,8,11,6,2
S00097415,64,8,19,29,8,38,3,8,20,7,26,5,11,9,1
S00097416,52,6,11,23,12,31,1,4,15,11,21,5,7,8,1
S00097417,78,8,12,31,27,48,1,4,24,19,30,7,8,7,8
S00097418,84,3,21,36,24,47,2,4,19,22,37,1,17,17,2
S00097419,58,7,12,24,15,33,1,4,17,11,25,6,8,7,4
S00097420,46,2,12,17,15,21,-,4,8,9,25,2,8,9,6
S00097421,47,1,6,27,13,28,-,1,19,8,19,1,5,8,5
S00097422,68,5,14,25,24,41,1,2,17,21,27,4,12,8,3
S00097423,32,2,5,17,8,21,-,1,12,8,11,2,4,5,-
S00097424,66,6,7,25,28,40,1,2,14,23,26,5,5,11,5
S00097425,63,7,15,25,16,32,-,2,17,13,31,7,13,8,3
S00097426,37,3,4,16,14,23,-,1,9,13,14,3,3,7,1
S00097427,36,5,5,13,13,20,2,2,7,9,16,3,3,6,4
S00097428,56,4,11,20,21,31,2,2,8,19,25,2,9,12,2
S00097429,45,6,11,19,9,26,2,4,12,8,19,4,7,7,1
S00097430,38,4,8,18,8,21,1,2,11,7,17,3,6,7,1
S00097431,64,8,22,26,8,31,-,4,19,8,33,8,18,7,-
S00097432,39,6,8,20,5,21,2,1,15,3,18,4,7,5,2
S00097433,61,5,12,25,19,29,2,2,11,14,32,3,10,14,5
S00097434,82,8,24,32,18,40,1,4,20,15,42,7,20,12,3
S00097435,57,2,15,30,10,31,-,1,21,9,26,2,14,9,1
S00097436,58,9,19,28,2,24,2,3,17,2,34,7,16,11,-
S00097437,42,4,9,17,12,26,-,3,13,10,16,4,6,4,2
S00097438,76,5,20,40,11,45,2,4,28,11,31,3,16,12,-
S00097439,59,4,17,30,8,34,1,6,21,6,25,3,11,9,2
S00097440,39,3,9,19,8,22,1,1,13,7,17,2,8,6,1
S00097441,38,1,7,18,12,24,-,5,10,9,14,1,2,8,3
S00097442,58,3,11,31,13,34,1,3,20,10,24,2,8,11,3
S00097443,58,7,19,27,5,32,2,7,18,5,26,5,12,9,-
S00097444,50,5,13,27,5,26,2,1,19,4,24,3,12,8,1
S00097445,28,-,6,12,10,18,-,1,8,9,10,-,5,4,1
S00097446,51,6,15,17,13,29,2,5,11,11,22,4,10,6,2
S00097447,48,3,12,17,16,24,1,3,8,12,24,2,9,9,4
S00097448,40,6,11,16,7,20,3,2,9,6,20,3,9,7,1
S00097449,56,4,6,17,29,31,1,-,8,22,25,3,6,9,7
S00097450,53,3,14,18,18,25,1,2,8,14,28,2,12,10,4
S00097451,44,4,10,20,10,25,-,3,12,10,19,4,7,8,-
S00097452,30,4,4,10,12,17,1,1,5,10,13,3,3,5,2
S00097453,71,2,14,34,21,42,-,4,20,18,29,2,10,14,3
S00097454,33,1,8,15,9,18,-,1,10,7,15,1,7,5,2
S00097455,32,4,10,13,5,15,-,2,8,5,17,4,8,5,-
S00097456,89,7,17,38,27,51,-,5,24,22,38,7,12,14,5
S00097457,40,3,8,20,9,23,-,2,13,8,17,3,6,7,1
S00097458,57,5,14,26,12,33,3,3,16,11,24,2,11,10,1
S00097459,59,4,9,36,10,30,-,-,22,8,29,4,9,14,2
S00097460,82,6,19,40,17,42,1,7,21,13,40,5,12,19,4
S00097461,24,1,4,11,8,12,1,-,4,7,12,-,4,7,1
S00097462,83,10,19,32,22,42,1,3,19,19,41,9,16,13,3
S00097463,38,4,11,20,3,15,1,-,11,3,23,3,11,9,-
S00097464,51,7,10,22,12,26,2,-,14,10,25,5,10,8,2
S00097465,106,8,25,48,25,57,2,3,32,20,49,6,22,16,5
S00097466,85,6,15,41,23,51,1,3,26,21,34,5,12,15,2
S00097467,33,2,9,20,2,18,2,3,12,1,15,-,6,8,1
S00097468,34,3,7,13,11,19,-,2,8,9,15,3,5,5,2
S00097469,61,4,7,21,29,37,1,1,11,24,24,3,6,10,5
S00097470,88,8,19,30,31,45,3,3,12,27,43,5,16,18,4
S00097471,70,4,19,27,20,41,1,4,17,19,29,3,15,10,1
S00097472,26,1,7,14,4,16,-,2,11,3,10,1,5,3,1
S00097473,28,2,8,16,2,18,-,6,10,2,10,2,2,6,-
S00097474,32,5,10,14,3,15,2,3,8,2,17,3,7,6,1
S00097475,38,2,13,17,6,19,1,4,11,3,19,1,9,6,3
S00097476,47,2,11,16,18,28,1,1,11,15,19,1,10,5,3
S00097477,49,5,15,22,7,23,-,4,12,7,26,5,11,10,-
S00097478,36,3,9,16,8,19,-,2,10,7,17,3,7,6,1
S00097479,47,4,13,22,8,25,1,4,13,7,22,3,9,9,1
S00097480,22,2,6,13,1,10,-,1,8,1,12,2,5,5,-
S00097481,39,2,7,23,7,21,-,-,15,6,18,2,7,8,1
