oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S92000003,"2,372,777","1,470,986","660,643","800,175","10,168","576,419","312,745","263,674","294,892","263,459","4,181","22,670","4,582","30,480"
S00088956,74,68,14,53,1,2,2,-,3,3,-,-,-,1
S00088957,26,22,13,9,-,-,-,-,4,4,-,-,-,-
S00088958,27,25,9,15,1,-,-,-,2,2,-,-,-,-
S00088959,32,19,7,12,-,4,4,-,6,6,-,-,-,3
S00088960,23,21,10,11,-,-,-,-,2,2,-,-,-,-
S00088961,22,15,10,5,-,-,-,-,6,5,-,-,1,1
S00088962,26,22,13,9,-,1,1,-,1,1,-,-,-,2
S00088963,33,29,18,11,-,-,-,-,2,1,-,1,-,2
S00088964,33,29,14,15,-,-,-,-,4,4,-,-,-,-
S00088965,58,46,32,14,-,3,3,-,8,8,-,-,-,1
S00088966,50,31,15,16,-,13,12,1,6,6,-,-,-,-
S00088967,22,17,10,7,-,-,-,-,4,4,-,-,-,1
S00088968,21,17,12,5,-,2,1,1,2,2,-,-,-,-
S00088969,56,49,21,28,-,1,1,-,4,2,2,-,-,2
S00088970,48,27,12,15,-,-,-,-,19,19,-,-,-,2
S00088971,41,23,10,13,-,-,-,-,16,12,2,2,-,2
S00088972,75,36,10,25,1,4,3,1,34,26,-,6,2,1
S00088973,71,27,21,6,-,35,35,-,9,8,-,1,-,-
S00088974,59,12,4,7,1,44,44,-,3,2,-,1,-,-
S00088975,39,21,4,17,-,3,3,-,15,14,-,1,-,-
S00088976,45,15,7,8,-,3,2,1,24,22,-,2,-,3
S00088977,40,10,4,6,-,1,1,-,28,26,1,1,-,1
S00088978,33,17,6,11,-,1,-,1,13,9,-,3,1,2
S00088979,49,24,6,18,-,3,3,-,21,21,-,-,-,1
S00088980,45,14,5,9,-,9,9,-,21,20,-,1,-,1
S00088981,43,15,6,9,-,15,5,10,13,13,-,-,-,-
S00088982,39,15,7,8,-,5,4,1,18,17,-,1,-,1
S00088983,44,-,-,-,-,42,1,41,2,2,-,-,-,-
S00088984,44,8,3,5,-,28,1,27,8,8,-,-,-,-
S00088985,50,21,7,14,-,3,3,-,25,22,-,3,-,1
S00088986,77,26,4,22,-,3,1,2,46,43,2,-,1,2
S00088987,37,10,4,5,1,2,1,1,25,23,-,2,-,-
S00088988,57,1,1,-,-,49,1,48,7,6,-,1,-,-
S00088989,51,15,2,11,2,1,1,-,32,29,-,3,-,3
S00088990,63,25,8,17,-,13,11,2,24,20,-,4,-,1
S00088991,81,31,14,16,1,3,3,-,46,43,-,3,-,1
S00088992,72,5,3,2,-,66,65,1,1,1,-,-,-,-
S00088993,61,18,5,12,1,20,1,19,18,15,-,2,1,5
S00088994,34,6,3,2,1,2,2,-,24,23,-,1,-,2
S00088995,36,9,1,8,-,-,-,-,27,23,1,3,-,-
S00088996,41,17,13,4,-,14,14,-,10,10,-,-,-,-
S00088997,67,56,28,28,-,-,-,-,10,9,-,1,-,1
S00088998,57,33,5,28,-,-,-,-,22,22,-,-,-,2
S00088999,54,43,23,20,-,1,1,-,9,8,-,-,1,1
S00089000,89,49,11,38,-,2,2,-,36,31,-,5,-,2
S00089001,55,51,38,13,-,-,-,-,3,3,-,-,-,1
S00089002,53,40,18,22,-,1,1,-,12,11,-,1,-,-
S00089003,43,16,8,8,-,1,-,1,25,25,-,-,-,1
S00089004,51,31,10,21,-,1,1,-,19,18,-,1,-,-
S00089005,56,51,26,25,-,-,-,-,4,4,-,-,-,1
S00089006,42,33,14,19,-,1,-,1,8,8,-,-,-,-
S00089007,62,45,17,28,-,-,-,-,17,16,-,1,-,-
S00089008,48,34,4,30,-,-,-,-,13,11,-,2,-,1
S00089009,61,31,6,25,-,2,-,2,28,27,-,1,-,-
S00089010,67,54,14,40,-,-,-,-,13,11,-,2,-,-
S00089011,86,16,4,12,-,30,4,26,39,36,-,2,1,1
S00089012,61,35,16,19,-,1,1,-,25,22,-,3,-,-
S00089013,41,26,9,17,-,2,2,-,13,12,-,-,1,-
S00089014,67,43,9,31,3,1,-,1,20,19,-,1,-,3
S00089015,54,25,3,22,-,-,-,-,28,27,-,1,-,1
S00089016,54,26,10,16,-,1,1,-,27,26,-,1,-,-
S00089017,50,22,3,19,-,-,-,-,27,27,-,-,-,1
S00089018,54,41,24,17,-,-,-,-,12,12,-,-,-,1
S00089019,70,38,12,26,-,14,13,1,18,18,-,-,-,-
S00089020,48,20,2,18,-,2,2,-,26,25,-,-,1,-
S00089021,45,33,20,13,-,-,-,-,11,11,-,-,-,1
S00089022,52,28,12,16,-,2,2,-,21,20,-,1,-,1
S00089023,48,32,17,15,-,-,-,-,13,10,-,3,-,3
S00089024,47,22,6,16,-,2,1,1,23,23,-,-,-,-
S00089025,48,21,6,15,-,1,-,1,24,24,-,-,-,2
S00089026,44,24,5,19,-,-,-,-,19,17,-,1,1,1
S00089027,71,31,4,27,-,2,1,1,34,33,-,1,-,4
S00089028,59,35,6,29,-,-,-,-,24,24,-,-,-,-
S00089029,59,29,7,22,-,10,5,5,19,13,-,6,-,1
S00089030,48,23,1,22,-,2,-,2,23,22,-,1,-,-
S00089031,80,45,8,18,19,3,1,2,29,27,-,2,-,3
S00089032,30,18,4,14,-,1,1,-,11,10,-,1,-,-
S00089033,51,25,6,19,-,6,4,2,20,19,-,1,-,-
S00089034,34,19,9,10,-,2,1,1,13,10,-,3,-,-
S00089035,73,24,3,20,1,32,1,31,17,16,-,1,-,-
S00089036,39,15,5,10,-,4,-,4,19,18,-,1,-,1
S00089037,54,25,8,15,2,-,-,-,25,24,-,1,-,4
S00089038,39,1,1,-,-,2,1,1,36,34,2,-,-,-
S00089039,44,7,-,6,1,9,-,9,28,28,-,-,-,-
S00089040,39,3,1,1,1,34,34,-,2,1,-,-,1,-
S00089041,70,41,13,25,3,25,8,17,3,2,-,1,-,1
S00089042,28,2,1,1,-,24,24,-,2,2,-,-,-,-
S00089043,59,4,2,2,-,54,54,-,1,1,-,-,-,-
S00089044,34,3,-,3,-,29,29,-,2,2,-,-,-,-
S00089045,36,18,11,7,-,14,13,1,3,3,-,-,-,1
S00089046,43,38,22,16,-,-,-,-,5,5,-,-,-,-
S00089047,52,39,22,17,-,4,4,-,8,8,-,-,-,1
S00089048,46,27,10,17,-,15,9,6,1,1,-,-,-,3
S00089049,53,36,14,22,-,13,12,1,3,3,-,-,-,1
S00089050,48,30,15,15,-,13,13,-,3,3,-,-,-,2
S00089051,71,27,10,17,-,15,15,-,29,25,-,4,-,-
S00089052,70,46,22,24,-,16,16,-,7,4,1,2,-,1
S00089053,68,22,8,14,-,24,12,12,22,22,-,-,-,-
S00089054,48,21,5,16,-,1,1,-,26,26,-,-,-,-
S00089055,57,24,4,20,-,13,10,3,19,17,1,1,-,1
S00089056,50,22,-,22,-,2,2,-,26,22,-,4,-,-
S00089057,57,15,7,8,-,27,26,1,15,14,-,1,-,-
S00089058,70,24,7,16,1,24,7,17,21,21,-,-,-,1
S00089059,39,19,5,14,-,8,2,6,12,11,-,1,-,-
S00089060,38,9,1,8,-,13,3,10,16,16,-,-,-,-
S00089061,41,20,7,13,-,3,2,1,18,18,-,-,-,-
S00089062,32,8,3,5,-,10,9,1,13,13,-,-,-,1
S00089063,48,14,2,12,-,4,3,1,30,30,-,-,-,-
S00089064,55,20,8,11,1,15,8,7,20,20,-,-,-,-
S00089065,67,18,2,16,-,17,15,2,32,32,-,-,-,-
S00089066,39,14,2,12,-,9,9,-,16,14,-,2,-,-
S00089067,52,13,7,5,1,12,6,6,27,26,-,1,-,-
S00089068,42,13,5,8,-,10,7,3,18,16,-,2,-,1
S00089069,32,6,1,5,-,13,11,2,13,11,-,1,1,-
S00089070,71,26,3,23,-,16,10,6,29,28,-,1,-,-
S00089071,57,15,4,11,-,25,5,20,13,13,-,-,-,4
S00089072,73,25,3,22,-,23,22,1,25,22,-,3,-,-
S00089073,63,24,11,13,-,18,6,12,20,19,-,1,-,1
S00089074,75,33,5,28,-,25,24,1,16,15,-,1,-,1
S00089075,46,12,4,8,-,8,8,-,26,25,-,1,-,-
S00089076,75,21,11,10,-,47,47,-,5,4,-,-,1,2
S00089077,55,21,5,16,-,15,13,2,17,16,-,1,-,2
S00089078,31,10,5,5,-,19,18,1,2,2,-,-,-,-
S00089079,25,14,7,7,-,6,6,-,5,5,-,-,-,-
S00089080,42,6,3,3,-,33,33,-,3,3,-,-,-,-
S00089081,50,25,17,8,-,23,23,-,1,1,-,-,-,1
S00089082,44,11,3,8,-,27,25,2,2,2,-,-,-,4
S00089083,53,15,7,8,-,37,37,-,1,1,-,-,-,-
S00089084,47,31,17,14,-,15,14,1,1,1,-,-,-,-
S00089085,54,20,8,12,-,33,33,-,1,1,-,-,-,-
S00089086,38,20,12,8,-,15,15,-,3,3,-,-,-,-
S00089087,75,24,12,12,-,49,37,12,2,-,-,1,1,-
S00089088,45,20,9,11,-,20,8,12,5,4,-,1,-,-
S00089089,55,31,13,18,-,18,17,1,5,4,-,-,1,1
S00089090,52,17,10,6,1,33,31,2,2,1,-,1,-,-
S00089091,49,8,2,6,-,38,38,-,3,1,-,2,-,-
S00089092,53,12,3,8,1,38,38,-,3,3,-,-,-,-
S00089093,78,7,-,6,1,64,64,-,6,6,-,-,-,1
S00089094,40,4,-,4,-,34,33,1,2,2,-,-,-,-
S00089095,51,9,4,5,-,40,39,1,2,2,-,-,-,-
S00089096,40,11,3,8,-,28,27,1,1,-,-,1,-,-
S00089097,47,5,-,5,-,41,40,1,1,1,-,-,-,-
S00089098,34,1,-,1,-,32,30,2,1,1,-,-,-,-
S00089099,50,13,5,8,-,30,30,-,7,6,-,-,1,-
S00089100,45,34,19,15,-,8,8,-,2,2,-,-,-,1
S00089101,41,6,1,5,-,31,31,-,4,4,-,-,-,-
S00089102,38,6,1,5,-,31,31,-,-,-,-,-,-,1
S00089103,52,25,8,17,-,5,4,1,22,20,-,2,-,-
S00089104,42,31,11,20,-,1,1,-,9,6,-,3,-,1
S00089105,64,45,16,29,-,3,1,2,12,11,-,1,-,4
S00089106,51,33,15,16,2,5,5,-,13,13,-,-,-,-
S00089107,43,16,9,7,-,23,22,1,4,4,-,-,-,-
S00089108,46,18,9,9,-,25,23,2,2,2,-,-,-,1
S00089109,32,17,3,14,-,8,4,4,6,6,-,-,-,1
S00089110,60,20,8,12,-,38,38,-,2,2,-,-,-,-
S00089111,63,20,9,11,-,39,39,-,4,4,-,-,-,-
S00089112,91,5,2,2,1,83,80,3,3,3,-,-,-,-
S00089113,47,-,-,-,-,47,47,-,-,-,-,-,-,-
S00089114,50,12,6,6,-,37,35,2,1,1,-,-,-,-
S00089115,72,17,10,7,-,47,47,-,8,6,-,2,-,-
S00089116,68,10,2,6,2,56,56,-,2,2,-,-,-,-
S00089117,67,10,2,8,-,56,43,13,1,1,-,-,-,-
S00089118,61,55,34,21,-,1,1,-,3,2,-,-,1,2
S00089119,42,41,27,14,-,-,-,-,-,-,-,-,-,1
S00089120,31,30,15,15,-,-,-,-,1,1,-,-,-,-
S00089121,66,23,12,11,-,23,23,-,19,19,-,-,-,1
S00089122,38,8,6,2,-,28,28,-,1,-,-,1,-,1
S00089123,56,29,9,20,-,26,25,1,1,1,-,-,-,-
S00089124,39,20,10,10,-,17,16,1,1,-,-,1,-,1
S00089125,64,30,12,18,-,32,32,-,2,2,-,-,-,-
S00089126,43,14,4,10,-,26,25,1,2,2,-,-,-,1
S00089127,41,21,6,15,-,18,17,1,1,-,-,1,-,1
S00089128,39,18,11,7,-,18,18,-,1,1,-,-,-,2
S00089129,71,62,13,49,-,4,4,-,3,3,-,-,-,2
S00089130,43,34,8,26,-,8,8,-,1,1,-,-,-,-
S00089131,40,33,14,19,-,6,6,-,1,1,-,-,-,-
S00089132,41,37,14,23,-,2,2,-,2,2,-,-,-,-
S00089133,41,34,19,15,-,6,6,-,1,1,-,-,-,-
S00089134,61,44,22,21,1,14,14,-,2,-,-,2,-,1
S00089135,73,70,47,23,-,1,1,-,1,1,-,-,-,1
S00089136,52,50,27,23,-,-,-,-,-,-,-,-,-,2
S00089137,46,41,27,14,-,-,-,-,5,2,2,1,-,-
S00089138,47,1,1,-,-,46,46,-,-,-,-,-,-,-
S00089139,37,23,8,15,-,8,8,-,5,3,-,2,-,1
S00089140,45,35,17,18,-,6,6,-,3,3,-,-,-,1
S00089141,49,39,23,16,-,3,3,-,4,4,-,-,-,3
S00089142,53,35,17,18,-,14,14,-,4,3,-,1,-,-
S00089143,41,31,15,16,-,6,6,-,4,2,-,2,-,-
S00089144,44,33,14,19,-,10,10,-,1,1,-,-,-,-
S00089145,52,42,17,25,-,8,8,-,2,2,-,-,-,-
S00089146,43,30,16,14,-,11,11,-,1,-,-,1,-,1
S00089147,47,15,4,11,-,29,29,-,3,2,1,-,-,-
S00089148,44,12,3,9,-,27,27,-,5,4,-,1,-,-
S00089149,40,12,2,10,-,25,24,1,3,2,-,1,-,-
S00089150,69,25,12,13,-,38,38,-,5,5,-,-,-,1
S00089151,37,14,7,7,-,20,20,-,3,2,-,1,-,-
S00089152,42,7,1,5,1,33,33,-,1,1,-,-,-,1
S00089153,40,27,14,12,1,10,10,-,1,1,-,-,-,2
S00089154,37,14,6,8,-,21,21,-,2,2,-,-,-,-
S00089155,39,27,17,10,-,10,10,-,2,-,-,2,-,-
S00089156,49,31,15,16,-,15,15,-,3,3,-,-,-,-
S00089157,48,38,23,15,-,9,8,1,1,1,-,-,-,-
S00089158,55,43,20,23,-,9,9,-,2,2,-,-,-,1
S00089159,43,25,12,13,-,14,14,-,2,2,-,-,-,2
S00089160,50,33,17,16,-,15,15,-,2,2,-,-,-,-
S00089161,43,31,13,18,-,11,11,-,1,1,-,-,-,-
S00089162,34,17,6,11,-,16,16,-,1,1,-,-,-,-
S00089163,51,34,13,21,-,14,14,-,3,2,-,1,-,-
S00089164,39,28,18,10,-,11,11,-,-,-,-,-,-,-
S00089165,49,35,13,22,-,11,11,-,2,1,-,1,-,1
S00089166,71,42,29,13,-,27,26,1,2,2,-,-,-,-
S00089167,52,31,15,16,-,17,17,-,4,2,-,2,-,-
S00089168,53,4,1,-,3,48,48,-,1,1,-,-,-,-
S00089169,46,26,11,15,-,19,18,1,1,1,-,-,-,-
S00089170,46,20,6,14,-,24,24,-,1,1,-,-,-,1
S00089171,41,15,9,6,-,23,23,-,1,1,-,-,-,2
S00089172,31,16,6,10,-,12,12,-,3,2,-,-,1,-
S00089173,62,49,18,31,-,12,12,-,1,1,-,-,-,-
S00089174,71,35,17,18,-,32,32,-,3,2,-,1,-,1
S00089175,64,28,5,23,-,33,33,-,2,1,-,1,-,1
S00089176,42,38,14,24,-,2,2,-,2,2,-,-,-,-
S00089177,67,33,16,17,-,31,29,2,3,1,-,2,-,-
S00089178,66,49,20,29,-,11,11,-,5,3,-,2,-,1
S00089179,77,55,28,27,-,16,15,1,4,3,-,1,-,2
S00089180,60,41,14,27,-,14,13,1,2,1,-,1,-,3
S00089181,45,36,18,17,1,8,8,-,1,1,-,-,-,-
S00089182,43,34,12,22,-,5,5,-,4,3,-,1,-,-
S00089183,41,34,15,18,1,7,7,-,-,-,-,-,-,-
S00089184,46,41,21,20,-,-,-,-,5,5,-,-,-,-
S00089185,55,50,34,16,-,1,1,-,3,3,-,-,-,1
S00089186,51,31,11,20,-,1,1,-,19,17,-,2,-,-
S00089187,38,23,12,11,-,-,-,-,12,11,-,1,-,3
S00089188,70,59,31,28,-,1,1,-,8,5,-,3,-,2
S00089189,72,58,33,25,-,-,-,-,11,11,-,-,-,3
S00089190,59,32,16,16,-,-,-,-,22,18,-,4,-,5
S00089191,72,47,15,32,-,1,-,1,23,22,-,1,-,1
S00089192,65,35,8,26,1,1,-,1,28,28,-,-,-,1
S00089193,76,39,13,26,-,5,1,4,31,27,2,-,2,1
S00089194,65,48,27,21,-,2,1,1,12,12,-,-,-,3
S00089195,51,44,23,21,-,-,-,-,4,4,-,-,-,3
S00089196,53,47,28,19,-,1,1,-,5,5,-,-,-,-
S00089197,52,45,22,23,-,1,1,-,5,5,-,-,-,1
S00089198,54,46,25,21,-,-,-,-,8,6,-,2,-,-
S00089199,26,23,4,18,1,1,-,1,1,1,-,-,-,1
S00089200,34,27,17,10,-,-,-,-,6,4,-,2,-,1
S00089201,43,39,24,15,-,1,1,-,3,3,-,-,-,-
S00089202,72,55,24,31,-,-,-,-,17,16,-,1,-,-
S00089203,75,55,25,30,-,1,-,1,17,17,-,-,-,2
S00089204,52,50,21,29,-,-,-,-,2,2,-,-,-,-
S00089205,52,39,19,20,-,-,-,-,12,12,-,-,-,1
S00089206,51,38,22,16,-,1,1,-,7,7,-,-,-,5
S00089207,40,32,13,19,-,1,1,-,7,5,-,2,-,-
S00089208,51,20,6,13,1,1,-,1,27,22,-,5,-,3
S00089209,41,25,5,20,-,-,-,-,16,15,-,1,-,-
S00089210,52,17,6,11,-,3,3,-,30,26,-,4,-,2
S00089211,49,24,8,14,2,1,1,-,23,20,-,3,-,1
S00089212,62,28,8,20,-,-,-,-,32,29,2,1,-,2
S00089213,43,18,1,17,-,-,-,-,22,20,-,2,-,3
S00089214,41,22,7,15,-,-,-,-,15,13,-,2,-,4
S00089215,39,23,6,17,-,1,1,-,13,11,-,2,-,2
S00089216,68,39,11,27,1,2,2,-,27,26,-,1,-,-
S00089217,52,15,4,11,-,3,3,-,34,33,-,1,-,-
S00089218,84,30,8,22,-,17,11,6,37,33,-,2,2,-
S00089219,55,19,4,15,-,5,5,-,30,29,-,1,-,1
S00089220,39,22,7,14,1,-,-,-,16,16,-,-,-,1
S00089221,81,45,16,28,1,3,3,-,32,29,-,2,1,1
S00089222,50,24,7,17,-,2,2,-,22,22,-,-,-,2
S00089223,48,22,7,14,1,15,14,1,11,11,-,-,-,-
S00089224,67,52,20,30,2,1,1,-,14,14,-,-,-,-
S00089225,41,20,3,16,1,2,2,-,19,17,-,2,-,-
S00089226,38,21,4,17,-,-,-,-,16,15,-,1,-,1
S00089227,84,42,20,21,1,6,5,1,29,25,-,3,1,7
S00089228,41,26,5,21,-,1,-,1,13,10,1,2,-,1
S00089229,51,33,13,20,-,-,-,-,17,15,-,2,-,1
S00089230,52,32,19,13,-,4,4,-,16,14,-,2,-,-
S00089231,59,23,8,15,-,1,1,-,35,33,-,2,-,-
S00089232,47,30,11,19,-,-,-,-,13,12,-,1,-,4
S00089233,31,24,15,9,-,-,-,-,3,3,-,-,-,4
S00089234,44,30,19,11,-,1,1,-,13,13,-,-,-,-
S00089235,69,30,4,26,-,3,3,-,34,33,-,1,-,2
S00089236,58,30,9,21,-,6,4,2,21,20,-,1,-,1
S00089237,53,49,21,28,-,1,-,1,3,3,-,-,-,-
S00089238,59,49,29,20,-,2,1,1,8,6,-,2,-,-
S00089239,42,39,18,21,-,-,-,-,2,1,-,1,-,1
S00089240,73,67,36,31,-,1,1,-,4,4,-,-,-,1
S00089241,30,28,19,9,-,-,-,-,2,1,-,1,-,-
S00089242,51,48,29,19,-,-,-,-,3,3,-,-,-,-
S00089243,51,46,27,19,-,1,1,-,3,3,-,-,-,1
S00089244,56,52,30,22,-,1,1,-,2,2,-,-,-,1
S00089245,45,44,30,14,-,1,1,-,-,-,-,-,-,-
S00089246,37,33,21,12,-,-,-,-,3,3,-,-,-,1
S00089247,76,63,35,28,-,1,1,-,11,10,1,-,-,1
S00089248,91,69,32,36,1,2,1,1,20,14,1,5,-,-
S00089249,43,38,20,18,-,1,1,-,3,2,-,1,-,1
S00089250,36,30,8,22,-,-,-,-,5,5,-,-,-,1
S00089251,42,37,16,20,1,-,-,-,5,4,-,1,-,-
S00089252,44,39,18,21,-,-,-,-,5,5,-,-,-,-
S00089253,60,51,24,27,-,1,1,-,7,7,-,-,-,1
S00089254,56,49,28,21,-,1,-,1,5,5,-,-,-,1
S00089255,53,38,12,26,-,2,1,1,13,13,-,-,-,-
S00089256,46,41,16,25,-,-,-,-,5,4,-,-,1,-
S00089257,43,40,18,22,-,-,-,-,3,1,-,2,-,-
S00089258,50,27,11,16,-,2,2,-,21,20,-,1,-,-
S00089259,42,30,9,21,-,-,-,-,12,9,-,3,-,-
S00089260,55,46,17,29,-,1,1,-,7,7,-,-,-,1
S00089261,75,58,21,37,-,1,1,-,15,11,-,4,-,1
S00089262,69,38,20,18,-,-,-,-,27,26,-,1,-,4
S00089263,66,25,5,20,-,19,18,1,22,21,-,1,-,-
S00089264,77,51,21,30,-,-,-,-,22,20,-,2,-,4
S00089265,56,23,5,18,-,3,2,1,30,26,-,4,-,-
S00089266,59,35,10,25,-,-,-,-,24,21,-,3,-,-
S00089267,53,23,4,19,-,3,2,1,27,24,-,3,-,-
S00089268,71,35,4,31,-,2,2,-,34,32,-,2,-,-
S00089269,62,38,13,25,-,-,-,-,24,23,-,1,-,-
S00089270,80,55,18,37,-,2,-,2,22,19,-,3,-,1
S00089271,38,32,16,16,-,-,-,-,6,5,-,1,-,-
S00089272,26,25,12,13,-,-,-,-,1,1,-,-,-,-
S00089273,62,38,11,27,-,-,-,-,21,18,-,3,-,3
S00089274,64,46,17,29,-,3,1,2,14,14,-,-,-,1
S00089275,53,-,-,-,-,53,52,1,-,-,-,-,-,-
S00089276,41,17,5,12,-,7,1,6,17,17,-,-,-,-
S00089277,72,66,30,36,-,1,1,-,4,3,-,1,-,1
S00089278,53,2,2,-,-,51,51,-,-,-,-,-,-,-
S00089279,30,22,11,11,-,-,-,-,8,6,-,2,-,-
S00089280,27,20,12,8,-,1,1,-,5,5,-,-,-,1
S00089281,41,29,5,24,-,3,2,1,9,9,-,-,-,-
S00089282,27,22,9,13,-,3,2,1,2,2,-,-,-,-
S00089283,31,21,12,9,-,1,-,1,9,8,-,1,-,-
S00089284,51,50,31,19,-,1,-,1,-,-,-,-,-,-
S00089285,79,54,20,34,-,1,1,-,23,21,1,1,-,1
S00089286,68,26,5,21,-,6,3,3,35,33,-,2,-,1
S00089287,71,18,3,1,14,50,-,50,2,2,-,-,-,1
S00089288,48,22,12,10,-,22,4,18,3,3,-,-,-,1
S00089289,47,24,9,15,-,19,-,19,3,1,-,1,1,1
S00089290,31,18,9,9,-,11,1,10,1,1,-,-,-,1
S00089291,41,25,11,14,-,13,9,4,2,2,-,-,-,1
S00089292,42,24,13,11,-,14,14,-,4,2,-,1,1,-
S00089293,77,36,8,28,-,23,23,-,16,12,-,4,-,2
S00089294,67,37,11,26,-,4,-,4,26,25,-,1,-,-
S00089295,72,36,23,13,-,25,11,14,10,9,-,1,-,1
S00089296,66,41,23,17,1,20,11,9,5,4,-,1,-,-
S00089297,50,8,4,4,-,34,34,-,7,5,-,2,-,1
S00089298,48,24,9,15,-,13,1,12,9,9,-,-,-,2
S00089299,39,18,11,7,-,20,20,-,1,1,-,-,-,-
S00089300,41,19,11,8,-,17,4,13,5,4,-,1,-,-
S00089301,47,30,17,13,-,9,8,1,8,8,-,-,-,-
S00089302,41,28,15,13,-,11,3,8,2,1,-,1,-,-
S00089303,72,38,15,23,-,19,18,1,14,11,-,3,-,1
S00089304,62,35,21,14,-,20,18,2,6,4,-,1,1,1
S00089305,42,11,5,6,-,29,6,23,2,2,-,-,-,-
S00089306,68,10,3,7,-,45,20,25,12,12,-,-,-,1
S00089307,55,10,3,7,-,37,36,1,8,8,-,-,-,-
S00089308,27,15,4,11,-,7,6,1,5,4,-,1,-,-
S00089309,51,32,15,17,-,16,12,4,3,3,-,-,-,-
S00089310,72,23,13,10,-,38,35,3,10,10,-,-,-,1
S00089311,49,33,20,13,-,9,7,2,7,4,-,2,1,-
S00089312,69,56,27,29,-,1,-,1,9,9,-,-,-,3
S00089313,75,69,46,23,-,3,2,1,3,3,-,-,-,-
S00089314,73,34,10,24,-,1,-,1,36,34,-,2,-,2
S00089315,50,48,25,23,-,-,-,-,2,2,-,-,-,-
S00089316,49,45,27,18,-,1,1,-,3,3,-,-,-,-
S00089317,40,37,18,19,-,1,1,-,2,2,-,-,-,-
S00089318,45,44,23,21,-,1,1,-,-,-,-,-,-,-
S00089319,60,56,36,20,-,1,1,-,2,2,-,-,-,1
S00089320,47,47,23,24,-,-,-,-,-,-,-,-,-,-
S00089321,37,35,20,15,-,1,1,-,1,1,-,-,-,-
S00089322,55,50,32,18,-,-,-,-,4,2,-,2,-,1
S00089323,40,39,29,10,-,-,-,-,1,1,-,-,-,-
S00089324,46,43,31,11,1,1,1,-,2,-,-,1,1,-
S00089325,43,41,20,21,-,1,1,-,1,1,-,-,-,-
S00089326,56,54,30,24,-,-,-,-,2,2,-,-,-,-
S00089327,50,48,29,19,-,1,1,-,1,1,-,-,-,-
S00089328,59,56,38,18,-,-,-,-,2,1,-,1,-,1
S00089329,48,43,35,8,-,1,1,-,2,2,-,-,-,2
S00089330,69,60,36,24,-,2,2,-,7,7,-,-,-,-
S00089331,69,65,40,25,-,1,1,-,1,1,-,-,-,2
S00089332,67,65,35,30,-,-,-,-,1,1,-,-,-,1
S00089333,73,68,30,38,-,-,-,-,4,3,-,-,1,1
S00089334,67,61,33,28,-,1,1,-,4,2,-,2,-,1
S00089335,62,57,25,32,-,2,2,-,3,2,-,1,-,-
S00089336,44,41,21,20,-,-,-,-,3,3,-,-,-,-
S00089337,29,24,15,9,-,3,3,-,1,1,-,-,-,1
S00089338,73,70,40,30,-,1,1,-,1,1,-,-,-,1
S00089339,69,68,43,25,-,-,-,-,1,1,-,-,-,-
S00089340,68,41,26,15,-,25,24,1,2,2,-,-,-,-
S00089341,44,39,27,12,-,1,1,-,4,4,-,-,-,-
S00089342,62,50,47,2,1,10,10,-,1,1,-,-,-,1
S00089343,49,31,15,15,1,3,1,2,15,15,-,-,-,-
S00089344,42,21,8,13,-,14,14,-,4,4,-,-,-,3
S00089345,52,35,17,18,-,1,1,-,14,12,-,2,-,2
S00089346,64,61,33,27,1,-,-,-,3,3,-,-,-,-
S00089347,48,47,28,19,-,-,-,-,1,1,-,-,-,-
S00089348,39,36,20,16,-,-,-,-,2,2,-,-,-,1
S00089349,45,43,30,13,-,-,-,-,2,1,-,1,-,-
S00089350,52,47,26,20,1,-,-,-,4,4,-,-,-,1
S00089351,68,52,26,26,-,1,1,-,15,15,-,-,-,-
S00089352,60,54,40,14,-,-,-,-,5,5,-,-,-,1
S00089353,52,50,28,22,-,-,-,-,1,1,-,-,-,1
S00089354,41,36,22,14,-,-,-,-,3,2,-,1,-,2
S00089355,58,56,29,27,-,-,-,-,1,1,-,-,-,1
S00089356,22,13,5,8,-,5,5,-,4,4,-,-,-,-
S00089357,53,30,15,14,1,7,7,-,15,11,-,4,-,1
S00089358,42,23,15,8,-,12,10,2,5,3,-,2,-,2
S00089359,56,38,15,23,-,11,10,1,4,4,-,-,-,3
S00089360,68,32,15,17,-,28,28,-,8,6,-,2,-,-
S00089361,72,38,21,15,2,31,14,17,2,1,-,1,-,1
S00089362,61,20,11,9,-,5,2,3,35,5,-,-,30,1
S00089363,27,22,9,13,-,1,1,-,3,3,-,-,-,1
S00089364,67,27,11,16,-,2,1,1,35,35,-,-,-,3
S00089365,66,12,2,10,-,1,-,1,52,51,-,1,-,1
S00089366,54,27,6,21,-,4,4,-,23,22,-,1,-,-
S00089367,54,26,15,10,1,15,14,1,12,12,-,-,-,1
S00089368,37,21,4,13,4,-,-,-,16,14,-,2,-,-
S00089369,68,27,5,18,4,3,2,1,34,29,-,5,-,4
S00089370,74,22,9,12,1,32,30,2,18,17,-,1,-,2
S00089371,75,35,20,15,-,25,24,1,14,13,-,1,-,1
S00089372,40,25,14,11,-,7,7,-,7,5,-,2,-,1
