oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S00131049,50,35,11,24,-,13,12,1,1,1,-,-,-,1
S00131050,30,22,9,13,-,6,6,-,1,-,-,1,-,1
S00131051,74,68,38,30,-,2,2,-,3,2,-,1,-,1
S00131052,53,45,13,32,-,3,3,-,5,5,-,-,-,-
S00131053,50,27,14,13,-,22,22,-,1,1,-,-,-,-
S00131054,71,45,23,22,-,23,23,-,2,2,-,-,-,1
S00131055,23,11,-,11,-,12,12,-,-,-,-,-,-,-
S00131056,59,55,27,28,-,1,1,-,3,2,-,1,-,-
S00131057,43,30,10,20,-,12,12,-,1,1,-,-,-,-
S00131058,44,25,9,16,-,16,14,2,2,2,-,-,-,1
S00131059,44,25,9,16,-,17,17,-,2,2,-,-,-,-
S00131060,63,39,20,19,-,21,21,-,2,2,-,-,-,1
S00131061,46,5,1,3,1,41,5,36,-,-,-,-,-,-
S00131062,60,4,1,1,2,54,7,47,2,2,-,-,-,-
S00131063,43,32,11,21,-,11,11,-,-,-,-,-,-,-
S00131064,66,43,22,21,-,18,17,1,5,4,-,1,-,-
S00131065,52,38,16,22,-,11,10,1,3,2,-,1,-,-
S00131066,40,26,8,18,-,13,13,-,1,1,-,-,-,-
S00131067,61,40,15,25,-,17,17,-,4,4,-,-,-,-
S00131068,42,31,12,19,-,11,2,9,-,-,-,-,-,-
S00131069,27,12,4,8,-,12,11,1,3,3,-,-,-,-
S00131070,39,25,11,14,-,14,10,4,-,-,-,-,-,-
S00131071,73,33,12,20,1,36,36,-,4,4,-,-,-,-
S00131072,59,18,6,12,-,38,38,-,3,3,-,-,-,-
S00131073,45,9,1,8,-,31,14,17,5,5,-,-,-,-
S00131074,35,7,2,5,-,26,3,23,2,2,-,-,-,-
S00131075,32,24,6,18,-,8,7,1,-,-,-,-,-,-
S00131076,77,22,7,15,-,46,46,-,9,8,-,1,-,-
S00131077,32,1,-,1,-,30,8,22,1,1,-,-,-,-
S00131078,34,11,4,7,-,17,17,-,5,2,-,2,1,1
S00131079,67,24,11,13,-,39,37,2,4,4,-,-,-,-
S00131080,42,20,8,12,-,18,18,-,3,3,-,-,-,1
S00131081,39,22,6,16,-,13,13,-,2,2,-,-,-,2
S00131082,69,28,5,23,-,37,36,1,3,3,-,-,-,1
S00131083,73,37,8,29,-,31,30,1,5,5,-,-,-,-
S00131084,67,27,8,19,-,36,36,-,4,4,-,-,-,-
S00131085,71,27,8,19,-,40,40,-,4,4,-,-,-,-
S00131086,26,22,7,15,-,2,2,-,2,2,-,-,-,-
S00131087,53,17,8,9,-,33,33,-,3,2,-,1,-,-
S00131088,41,37,14,23,-,-,-,-,2,1,-,1,-,2
S00131089,70,45,14,31,-,18,17,1,7,6,-,1,-,-
S00131090,75,47,18,29,-,12,12,-,16,15,-,1,-,-
S00131091,50,33,14,19,-,15,14,1,1,-,1,-,-,1
S00131092,59,48,25,23,-,1,1,-,9,9,-,-,-,1
S00131093,50,28,13,15,-,16,16,-,4,4,-,-,-,2
S00131094,41,13,9,4,-,21,21,-,7,5,-,2,-,-
S00131095,66,56,25,31,-,2,2,-,6,5,-,1,-,2
S00131096,62,44,30,14,-,12,12,-,6,5,-,-,1,-
S00131097,68,53,16,36,1,9,8,1,4,4,-,-,-,2
S00131098,61,33,14,19,-,26,26,-,2,2,-,-,-,-
S00131099,74,48,22,26,-,13,9,4,12,11,-,1,-,1
S00131100,24,14,5,9,-,7,7,-,3,3,-,-,-,-
S00131101,67,29,15,14,-,36,35,1,2,2,-,-,-,-
S00131102,50,19,5,14,-,21,21,-,8,8,-,-,-,2
S00131103,42,24,7,17,-,15,15,-,2,2,-,-,-,1
S00131104,49,35,22,13,-,11,10,1,3,2,-,1,-,-
S00131105,42,28,10,18,-,1,-,1,12,11,-,1,-,1
S00131106,52,47,22,25,-,4,4,-,1,1,-,-,-,-
S00131107,51,31,13,18,-,19,19,-,1,1,-,-,-,-
S00131108,43,13,6,7,-,29,29,-,-,-,-,-,-,1
S00131109,55,19,6,13,-,31,31,-,5,4,-,1,-,-
S00131110,43,7,1,6,-,35,35,-,1,-,-,-,1,-
S00131111,42,13,7,6,-,27,26,1,2,2,-,-,-,-
S00131112,46,31,12,19,-,12,12,-,3,3,-,-,-,-
S00131113,62,23,11,12,-,37,37,-,1,1,-,-,-,1
S00131114,45,16,9,7,-,26,26,-,3,3,-,-,-,-
S00131115,48,31,10,21,-,9,9,-,8,7,-,1,-,-
S00131116,45,25,6,19,-,18,18,-,2,2,-,-,-,-
S00131117,23,23,5,18,-,-,-,-,-,-,-,-,-,-
S00131118,21,19,11,8,-,-,-,-,2,-,-,2,-,-
S00131119,40,37,27,10,-,-,-,-,1,1,-,-,-,2
S00131120,56,56,31,25,-,-,-,-,-,-,-,-,-,-
S00131121,41,21,12,9,-,15,15,-,2,2,-,-,-,3
S00131122,47,40,20,20,-,7,7,-,-,-,-,-,-,-
S00131123,50,25,13,12,-,21,21,-,3,3,-,-,-,1
S00131124,41,6,1,5,-,34,33,1,1,-,-,1,-,-
S00131125,48,17,10,7,-,26,25,1,4,4,-,-,-,1
S00131126,55,6,3,3,-,47,45,2,2,2,-,-,-,-
S00131127,41,23,13,10,-,13,13,-,5,4,-,1,-,-
S00131128,45,36,12,24,-,5,5,-,4,3,-,1,-,-
S00131129,48,22,9,13,-,25,25,-,1,1,-,-,-,-
S00131130,45,10,5,5,-,35,34,1,-,-,-,-,-,-
S00131131,45,18,5,13,-,27,26,1,-,-,-,-,-,-
S00131132,48,18,5,13,-,29,29,-,1,1,-,-,-,-
S00131133,60,43,18,25,-,6,6,-,10,9,-,1,-,1
S00131134,41,34,15,19,-,2,2,-,5,4,-,1,-,-
S00131135,58,20,9,11,-,33,33,-,5,5,-,-,-,-
S00131136,54,51,32,19,-,-,-,-,2,1,-,1,-,1
S00131137,50,47,23,24,-,2,2,-,1,1,-,-,-,-
S00131138,44,44,16,28,-,-,-,-,-,-,-,-,-,-
S00131139,48,47,24,23,-,1,1,-,-,-,-,-,-,-
S00131140,27,27,13,14,-,-,-,-,-,-,-,-,-,-
S00131141,63,61,32,29,-,-,-,-,2,1,-,1,-,-
S00131142,74,70,42,28,-,-,-,-,4,4,-,-,-,-
S00131143,33,31,16,15,-,-,-,-,1,-,-,1,-,1
S00131144,28,28,19,9,-,-,-,-,-,-,-,-,-,-
S00131145,56,56,34,22,-,-,-,-,-,-,-,-,-,-
